Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
KLF5	88	2881	2638	26	3175	151	277	542	1627	19	3288	787	915	25	3333	735
KLF6	222	6718	2149	1971	2158	2267	632	608	2270	223	1535	1302	1619	245	5588	1260
KLF7	118	554	411	94	719	307	258	141	581	5	520	442	160	75	2002	393
KLF8	66	270	24	11	74	11	166	15	77	1	255	280	44	16	835	203
KLF9	75	681	210	497	261	2079	129	36	984	39	107	326	232	179	574	564
KLHDC1	25	42	6	22	6	52	69	1	79	0	16	156	26	15	27	100
KLHDC10	90	314	394	281	589	77	251	0	470	5	440	503	534	202	899	347
KLHDC2	33	109	131	153	97	108	51	7	305	12	96	218	153	69	786	123
KLHDC3	37	103	182	95	122	52	67	2	234	18	161	152	139	53	908	89
KLHDC4	16	38	46	38	84	80	99	42	67	10	85	117	71	9	175	48
KLHDC5	79	286	267	145	317	98	289	11	265	84	303	376	197	46	336	266
KLHDC7A	5	2	16	69	0	4	1	24	18	0	259	4	7	12	1	1
KLHDC7B	0	3	0	0	0	6	17	13	22	0	10	13	0	1	596	2
KLHDC8A	0	0	1	1	3	1	3	4	19	0	0	3	1	6	0	1
KLHDC8B	7	38	14	40	55	103	35	77	123	3	48	35	40	12	198	30
KLHDC9	6	2	8	3	0	5	11	0	31	0	26	0	3	3	35	1
KLHL1	19	0	0	1	0	0	3	0	16	0	1	0	2	18	0	0
KLHL10	5	1	0	0	5	0	1	0	0	0	0	1	1	6	1	1
KLHL11	19	64	54	19	36	0	23	11	118	0	119	106	51	14	136	53
KLHL12	70	156	173	102	439	55	260	26	243	18	285	348	284	69	706	238
KLHL13	20	36	33	13	41	9	4	0	100	4	16	31	25	21	8	18
KLHL14	23	9	5	1	0	0	94	0	0	0	3	69	3	18	0	63
KLHL15	41	208	80	274	55	76	92	25	190	9	147	276	162	118	158	177
KLHL17	5	4	10	5	29	0	11	0	10	1	13	15	9	5	36	6
KLHL18	38	242	104	48	64	36	139	21	89	2	215	203	114	24	333	103
KLHL2	48	158	46	203	45	241	144	4	242	4	112	290	185	86	289	166
KLHL20	56	160	88	109	207	110	179	7	274	4	244	275	153	43	398	186
KLHL21	21	229	109	101	23	43	86	14	150	0	136	103	77	33	445	93
KLHL22	12	57	21	17	46	13	63	1	29	0	36	79	14	7	111	61
KLHL23	0	0	0	2	1	0	0	1	1	0	0	0	2	0	0	0
KLHL24	182	521	1331	301	1354	363	550	101	1188	8	1611	1260	849	196	2084	845
KLHL25	7	36	16	106	16	145	10	1	47	0	31	31	98	12	29	17
KLHL26	3	18	13	8	13	8	17	15	35	4	24	11	4	3	62	5
KLHL28	95	255	118	90	150	47	254	5	106	16	176	632	238	62	792	387
KLHL29	21	78	40	80	112	43	145	0	86	1	55	66	66	14	18	46
KLHL3	53	163	31	22	119	84	195	60	192	3	83	214	101	58	70	147
KLHL30	2	2	4	1	0	0	1	0	53	0	0	0	3	3	14	0
KLHL31	36	9	17	4	18	0	18	19	1	0	38	23	16	17	61	41
KLHL32	15	1	4	0	6	5	17	6	3	0	0	10	7	18	0	6
KLHL33	0	0	1	0	0	0	4	0	0	0	0	5	3	1	0	2
KLHL34	2	2	0	0	6	0	6	2	0	0	0	5	0	2	12	1
KLHL35	0	5	2	1	0	0	0	1	27	0	5	1	1	0	115	1
KLHL36	15	38	71	44	42	46	24	0	37	1	82	83	36	15	287	38
KLHL38	2	0	0	0	0	0	0	11	0	0	0	2	2	2	1	0
KLHL4	25	12	10	6	9	1	11	1	7	4	2	3	21	18	7	6
KLHL5	247	498	228	675	256	481	1034	102	626	84	279	1413	371	169	1165	815
KLHL6	238	122	37	29	144	182	2441	89	242	5	170	1207	141	33	229	870
KLHL7	41	122	84	41	79	1	48	0	154	0	84	181	76	28	402	97
KLHL8	82	190	109	167	256	200	119	45	136	30	352	280	187	84	301	185
KLHL9	91	258	290	117	191	77	213	7	501	3	379	629	518	60	878	382
KLK1	5	1	216	3	32	2	1	2	92	0	1	9	6	2	0	5
KLK10	16	742	9	0	83	0	37	0	6	0	0	44	15	10	285	101
KLK11	8	322	0	1	4	1	3	0	0	0	1	31	8	1	20	34
KLK12	3	235	1	0	0	1	5	0	7	0	0	0	1	5	1	14
KLK13	9	1010	1	3	17	1	13	0	0	0	2	38	1	3	0	64
KLK14	0	10	0	0	2	0	2	1	0	0	1	0	0	2	2	0
KLK15	3	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
KLK2	10	0	1	2	0	0	4	6	1	0	1	0	1	9	1	0
KLK3	2	0	0	1	0	0	2	2	0	0	0	0	0	6	0	0
KLK4	4	3	4	1	0	11	9	0	53	0	2	1	0	2	0	0
KLK5	2	161	1	0	0	0	0	1	0	0	0	0	0	1	710	0
KLK6	2	220	9	2	14	0	1	0	19	0	0	3	23	6	146	8
KLK7	4	651	6	1	6	0	4	0	0	0	0	8	21	7	48	12
KLK8	0	154	0	1	34	0	3	0	0	0	0	5	9	1	83	9
KLK9	0	12	0	2	0	0	3	0	0	0	0	0	0	1	1	1
