Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
PTPN6	121	81	83	59	82	91	572	28	111	12	140	778	112	20	251	302
PTPN7	73	35	9	12	3	13	426	0	70	2	86	445	31	13	137	218
PTPN9	56	172	156	127	255	108	179	13	247	25	242	220	313	50	595	137
PTPRA	134	623	350	224	721	204	387	11	921	9	630	721	515	70	1479	447
PTPRB	79	266	244	177	502	441	132	10	418	34	202	243	441	120	347	212
PTPRC	1303	830	248	233	431	1279	5675	411	755	115	1312	10361	526	135	1536	5623
PTPRCAP	28	11	2	5	1	6	219	10	54	8	19	173	8	4	44	84
PTPRD	65	561	333	279	495	106	39	86	203	1	25	90	101	148	139	41
PTPRE	98	405	225	59	131	124	227	1	299	0	150	488	278	33	609	220
PTPRF	124	886	1305	1164	1173	785	317	808	1313	94	4282	545	1195	281	7301	596
PTPRG	53	354	374	108	484	255	72	21	599	1	181	183	326	71	392	148
PTPRH	2	7	60	70	76	34	3	74	41	4	1	3	273	32	68	1
PTPRJ	175	228	639	308	754	207	475	59	662	35	400	1028	637	186	878	572
PTPRK	138	756	1007	655	1909	366	208	147	1133	28	472	510	1374	255	1700	308
PTPRM	109	439	110	198	190	323	439	257	451	17	820	561	283	113	1662	295
PTPRN	5	3	0	0	0	0	0	0	0	1	0	0	0	5	0	0
PTPRN2	34	24	65	9	67	57	59	1	187	0	34	47	422	13	12	24
PTPRO	62	5	308	8	712	1	86	1	137	0	28	110	36	50	105	47
PTPRQ	73	8	7	8	6	17	23	10	4	0	4	18	7	61	0	16
PTPRR	20	4	67	6	28	1	3	0	13	0	6	2	167	21	131	1
PTPRS	106	630	76	298	121	286	353	250	481	51	147	437	134	90	1202	265
PTPRT	37	9	8	18	6	13	65	144	0	0	296	68	12	41	0	34
PTPRU	13	111	40	68	46	24	30	5	26	3	154	46	48	20	795	22
PTPRZ1	57	497	14	9	0	1	54	1	187	6	1	73	5	65	77	70
PTRF	102	1554	575	135	631	521	144	195	3015	93	158	315	277	35	7764	235
PTRH1	0	5	1	2	6	6	2	0	5	0	4	1	3	0	31	6
PTRH2	7	15	16	21	6	23	17	5	228	2	45	25	30	7	112	21
PTRHD1	2	9	12	16	8	0	10	11	61	1	18	18	12	4	51	12
PTS	14	109	57	141	58	88	34	2	215	18	67	81	61	24	87	51
PTTG1	16	34	57	1	7	1	38	0	185	0	99	58	45	12	154	34
PTTG1IP	103	506	628	563	505	591	260	34	2640	48	618	526	779	94	3733	413
PTX3	8	13	5	4	20	40	1	0	59	0	1	4	21	11	171	3
PTX4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PUF60	15	143	149	190	81	141	73	18	645	33	139	146	117	37	604	93
PUM1	141	921	568	408	651	307	561	47	1278	93	880	957	644	136	1713	641
PUM2	448	1440	1650	717	1985	653	1342	99	1574	116	2554	2880	1708	283	3604	1816
PURA	180	630	384	209	694	296	569	182	692	73	695	1168	470	119	793	744
PURB	215	1202	494	300	1116	507	880	385	1260	60	712	1447	1030	139	2844	929
PURG	8	22	1	0	0	0	5	0	1	1	0	5	1	9	1	5
PUS1	14	40	39	56	73	111	61	1	122	1	49	43	41	6	192	35
PUS10	49	55	55	91	14	38	167	1	117	1	83	138	137	60	83	108
PUS3	22	32	47	83	102	262	55	0	105	0	80	94	55	42	88	40
PUS7	40	169	143	83	385	65	112	25	327	3	129	150	139	21	570	96
PUS7L	95	164	205	42	221	4	326	4	262	43	696	525	193	34	261	345
PUSL1	2	15	11	9	0	6	6	0	27	0	26	16	4	2	124	8
PVALB	4	0	0	5	0	0	8	0	0	0	0	1	0	4	0	0
PVR	38	268	333	601	888	626	151	4	171	76	126	88	502	93	752	78
PVRIG	11	3	5	8	11	26	42	0	7	0	13	51	11	2	28	16
PVRL1	44	1067	143	39	381	28	230	30	170	6	759	274	45	14	454	300
PVRL2	14	201	300	354	206	330	78	55	475	62	111	53	230	56	457	54
PVRL3	49	141	262	247	226	197	57	0	220	2	59	127	201	112	133	75
PVRL4	23	710	56	1	271	2	106	58	64	5	2933	153	152	7	505	176
PWP1	58	176	183	124	200	115	81	3	385	12	187	298	168	54	601	175
PWP2	31	87	53	71	57	212	63	9	376	7	336	137	71	19	365	63
PWWP2A	102	306	280	106	454	125	475	8	283	4	238	526	371	46	359	311
PWWP2B	4	27	43	9	52	24	14	8	45	1	41	14	14	2	113	15
PXDC1	7	197	120	853	124	498	30	22	311	121	32	56	108	128	1067	47
PXDN	31	633	485	168	258	740	22	45	1912	23	110	59	323	47	1041	60
PXDNL	18	12	12	2	19	0	53	1	0	0	7	16	10	31	2	16
PXK	66	182	55	31	115	34	252	3	132	2	71	344	49	32	103	153
PXMP2	6	11	28	193	21	118	14	1	40	26	11	13	58	80	51	10
PXMP4	30	67	155	49	196	66	99	123	234	11	213	115	71	29	323	61
PXN	40	194	341	114	252	201	115	78	388	4	197	173	444	51	2336	108
PXT1	10	0	2	3	1	0	3	0	0	0	1	1	6	19	0	0
PYCARD	6	18	56	4	41	46	20	2	76	2	58	24	21	1	89	27
PYCR1	1	29	74	9	55	3	10	0	294	3	132	9	53	2	275	12
PYCR2	14	68	78	51	218	63	97	49	231	9	153	109	90	18	384	73
PYCRL	5	11	19	16	3	56	11	0	17	0	13	20	4	8	65	10
PYDC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PYDC2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0
PYGB	48	211	4770	76	1153	117	107	141	3154	8	239	195	762	20	1311	117
PYGL	30	613	116	775	156	322	26	116	302	57	154	86	292	195	2757	59
PYGM	22	6	2	2	0	0	12	1	8	0	2	54	7	8	1	73
PYGO1	14	54	11	5	0	13	2	63	36	0	3	17	7	7	11	7
PYGO2	50	73	120	52	73	16	127	9	162	6	294	223	109	23	619	132
PYHIN1	51	26	7	6	10	0	146	0	63	1	76	407	11	21	34	90
PYROXD1	55	99	124	47	132	43	151	13	128	2	154	381	145	35	193	219
PYROXD2	6	18	10	6	34	78	28	0	12	0	13	22	13	13	88	6
PYURF	20	73	31	91	107	53	42	27	277	1	138	113	101	22	241	84
PYY	1	1	1	2	0	0	3	0	6	0	3	3	1	4	0	0
PZP	34	7	46	1645	63	574	38	190	6	2	2	11	169	331	8	16
QARS	103	293	355	161	320	135	326	36	695	25	447	449	220	49	1032	370
QDPR	15	45	139	334	22	109	31	1	141	26	32	104	173	152	157	69
QKI	310	1518	318	848	632	1167	812	252	2140	69	1852	1572	723	246	2684	1052
QPCT	14	29	77	2	43	23	15	85	135	1	10	19	14	14	74	16
QPCTL	3	16	23	21	80	62	25	57	123	21	34	36	15	5	48	10
QPRT	7	25	171	400	297	165	7	1	439	18	16	16	82	78	204	11
QRFPR	6	1	0	1	2	1	1	0	0	0	8	0	0	4	0	1
QRICH1	92	333	274	182	227	200	317	38	333	9	378	559	188	46	872	299
QRICH2	7	46	12	10	11	0	51	21	50	0	60	65	57	27	44	35
QRSL1	63	73	122	71	352	141	233	2	132	0	235	394	133	32	182	182
QSER1	232	1027	716	226	2547	319	777	45	879	18	812	1063	484	120	2556	698
QSOX1	23	499	354	109	302	329	73	237	776	19	422	95	372	37	1288	78
QSOX2	49	72	88	64	83	83	250	10	234	0	167	258	154	21	406	125
QTRT1	10	31	18	22	102	96	26	11	125	1	59	25	21	3	131	20
QTRTD1	66	119	142	87	329	91	149	78	161	23	277	280	242	32	553	180
R3HCC1	11	26	51	55	2	21	33	21	146	5	58	56	37	14	119	30
R3HCC1L	89	206	146	76	291	133	286	11	100	0	199	481	131	31	328	260
R3HDM1	126	284	269	116	835	147	560	53	618	31	794	536	225	62	688	370
R3HDM2	133	481	434	301	1251	726	629	68	729	7	565	615	349	116	770	360
R3HDM4	10	88	53	52	87	146	92	28	327	19	81	97	41	11	312	45
R3HDML	0	0	3	0	4	6	0	14	3	0	0	0	1	2	1	0
RAB10	181	1936	851	323	1062	434	428	13	1655	29	2604	1346	1236	108	3219	1213
RAB11A	170	1174	576	240	632	279	529	63	1307	29	1279	1025	1109	88	2031	860
RAB11B	38	113	68	75	224	134	67	33	365	4	88	97	49	27	462	63
RAB11FIP1	193	1073	2096	190	2980	323	743	118	1328	55	1063	1071	934	75	1484	724
RAB11FIP2	108	273	311	98	359	3	304	100	240	10	267	550	341	65	557	314
RAB11FIP3	28	136	66	66	86	80	80	37	169	2	182	122	238	24	252	57
RAB11FIP4	55	87	227	56	634	104	309	73	227	2	887	408	162	42	323	260
RAB11FIP5	19	113	104	36	128	57	17	14	169	3	41	41	63	19	764	35
RAB12	49	334	178	222	230	124	182	9	473	17	306	351	178	52	1965	276
RAB13	18	133	187	111	254	108	71	73	1088	2	123	71	106	26	364	65
RAB14	162	736	674	645	391	257	390	37	920	55	1135	1150	960	243	2506	896
RAB15	20	63	146	122	556	163	27	105	176	0	295	29	132	34	323	13
RAB17	3	4	44	260	51	171	8	3	30	56	30	4	157	56	71	4
RAB18	97	710	431	212	460	218	345	2	771	15	451	708	472	100	1146	472
RAB19	7	3	8	2	15	0	9	0	18	0	22	3	13	5	30	2
RAB1A	151	958	874	486	1228	355	355	47	1325	46	1652	875	973	151	2444	606
RAB1B	41	203	281	190	189	191	134	93	671	29	167	190	117	45	1241	120
RAB20	1	13	185	106	27	140	9	2	230	14	47	16	77	9	441	8
RAB21	84	496	471	236	329	333	255	42	855	77	459	657	517	83	696	417
RAB22A	152	993	1318	312	3056	362	700	165	1215	36	853	1058	1334	85	2438	589
RAB23	21	275	135	23	300	32	31	55	418	18	84	86	99	14	959	53
RAB24	12	57	34	20	40	8	49	0	92	0	14	61	22	8	31	29
RAB25	3	187	132	0	120	1	16	2	133	0	75	42	79	6	375	37
RAB26	0	2	1	7	3	3	2	0	2	0	1	1	3	13	2	2
RAB27A	90	173	112	252	234	345	332	19	221	7	208	571	181	79	475	291
RAB27B	64	356	42	15	59	34	138	58	56	29	172	235	307	37	641	295
RAB28	21	91	119	27	118	48	64	0	150	0	53	180	98	20	167	97
RAB2A	73	788	650	238	480	213	166	100	869	16	494	629	641	104	1299	396
RAB2B	62	140	73	72	32	191	207	3	339	18	135	277	182	36	512	161
RAB30	57	89	26	27	35	15	226	1	121	1	35	313	45	24	154	200
RAB31	98	1291	261	51	357	88	211	82	2762	49	458	571	343	43	7629	407
RAB32	8	46	94	100	55	9	8	2	261	17	53	31	55	17	150	15
RAB33A	2	1	1	2	0	0	9	0	0	0	1	10	3	0	4	7
RAB33B	42	113	60	165	52	44	122	42	237	2	134	253	191	60	338	184
RAB34	8	61	13	7	8	13	17	2	155	0	19	49	20	6	372	26
RAB35	27	177	133	105	118	140	159	2	155	9	129	148	105	16	345	74
RAB36	9	25	10	4	12	0	11	0	91	7	16	17	17	5	14	11
RAB37	21	16	35	26	31	16	130	1	17	5	37	122	23	18	30	64
RAB38	16	119	1	3	0	1	15	0	9	0	12	38	5	9	124	48
RAB39A	12	2	7	5	0	0	11	0	8	0	24	26	7	7	34	21
RAB39B	30	10	0	0	0	1	54	0	25	0	20	119	3	6	16	84
RAB3A	3	1	5	0	19	40	4	0	25	0	3	6	2	6	6	2
RAB3B	30	6	82	58	129	40	37	4	132	1	28	14	65	49	668	12
RAB3C	6	3	2	0	0	0	1	0	0	0	0	5	1	7	0	3
RAB3D	57	501	204	17	618	10	96	3	396	2	240	226	160	23	1210	198
RAB3GAP1	166	570	507	267	780	256	361	22	1146	11	733	943	659	118	1658	574
RAB3GAP2	192	566	434	273	729	186	581	10	1029	21	495	1079	721	106	1365	674
RAB3IL1	4	42	40	19	30	19	11	12	106	3	7	13	14	4	72	10
RAB3IP	84	104	425	140	393	175	267	131	374	23	496	331	501	75	196	236
RAB40A	2	7	0	1	0	0	8	14	0	0	1	2	2	0	12	4
RAB40AL	1	1	1	0	0	0	2	1	0	0	0	3	2	1	3	0
RAB40B	23	89	240	113	208	117	40	37	247	9	235	78	113	24	51	28
RAB40C	13	38	45	14	90	74	26	14	67	1	225	36	56	14	200	26
RAB41	5	0	4	2	0	0	3	0	0	0	0	3	0	8	0	0
RAB42	1	2	3	1	5	0	3	2	47	0	5	2	9	1	35	3
RAB43	1	2	24	28	0	7	2	4	41	2	6	6	2	2	98	5
RAB44	2	11	2	2	2	15	3	0	0	0	6	9	1	2	0	0
RAB4A	33	197	196	134	287	71	104	5	348	4	143	214	225	63	275	136
RAB4B	13	9	28	16	22	20	85	36	139	0	49	47	21	4	67	21
RAB5A	68	810	454	287	501	316	291	32	769	36	580	550	329	62	1012	402
RAB5B	130	755	654	468	525	388	459	292	1168	96	645	715	644	139	1222	545
RAB5C	45	243	316	250	332	485	155	91	994	129	309	221	212	58	1205	142
RAB6A	167	1024	893	440	1072	885	422	55	1818	109	750	777	530	122	5194	596
RAB6B	6	17	70	11	22	21	11	6	90	0	16	23	6	12	43	15
RAB6C	29	1	7	9	0	0	4	0	12	0	6	4	2	12	2	2
RAB7A	138	1010	1113	619	1543	1012	615	322	2448	92	600	862	901	139	2418	585
RAB7L1	60	72	198	143	234	142	300	15	254	0	177	290	75	33	299	156
RAB8A	109	367	418	429	399	374	463	84	1012	67	510	610	322	83	1244	395
RAB8B	200	416	244	187	231	275	768	78	723	53	457	1506	422	63	1259	965
RAB9A	41	137	139	73	61	1	72	1	191	0	103	173	87	16	243	122
RAB9B	23	16	28	2	50	61	18	5	6	0	16	35	23	8	18	24
RABAC1	2	23	34	23	13	29	9	0	173	13	5	18	20	4	87	20
RABEP1	267	686	378	543	1192	828	1026	83	691	27	403	1386	476	173	897	735
RABEP2	9	48	44	15	38	20	100	31	143	2	92	104	32	7	132	50
RABEPK	16	67	45	179	43	112	39	0	255	4	67	80	94	41	99	44
RABGAP1	141	567	573	147	833	211	462	114	845	46	914	854	612	90	1730	511
RABGAP1L	414	615	554	224	1261	339	2100	319	927	25	1530	2387	648	132	1564	1411
RABGEF1	98	629	218	140	287	113	242	138	412	6	203	386	251	58	1012	239
RABGGTA	8	66	25	22	7	14	36	6	47	3	24	59	33	4	262	46
RABGGTB	63	229	132	185	321	180	204	24	423	35	226	492	210	42	421	304
RABIF	29	67	43	23	40	21	73	0	28	0	80	113	52	20	95	91
RABL2A	24	46	32	15	109	25	104	45	78	18	67	99	42	12	129	45
RABL2B	18	58	41	48	121	78	115	30	130	16	66	109	62	7	214	47
RABL3	52	176	140	107	185	58	130	2	436	12	677	257	128	50	457	178
RABL5	11	31	18	10	33	0	18	0	122	1	53	27	36	16	110	15
RABL6	45	171	189	65	397	78	191	28	290	7	233	200	249	16	943	133
RAC1	127	984	1200	419	1010	257	375	101	2618	47	2537	751	1393	106	3342	646
RAC2	112	41	15	30	66	66	504	7	122	1	113	551	60	16	253	304
RAC3	0	1	0	3	0	2	0	0	27	1	8	4	2	5	84	0
RACGAP1	46	106	176	17	74	21	141	3	294	0	316	138	112	37	588	111
RAD1	58	175	162	70	104	13	211	18	458	9	265	249	119	25	723	175
RAD17	64	120	94	61	257	10	206	1	83	1	241	451	114	45	466	199
RAD18	63	112	181	51	135	110	172	122	86	1	353	241	146	31	449	145
RAD21	343	1033	1178	451	2518	593	1035	86	3404	58	1234	2039	1620	182	4107	1318
RAD21L1	8	0	2	1	0	0	2	0	0	0	1	0	0	17	6	1
RAD23A	21	105	131	201	369	199	98	24	576	61	161	151	85	29	622	91
RAD23B	198	1206	1057	1118	1586	1698	754	266	1956	75	1030	883	1131	277	4965	711
RAD50	182	625	345	289	2644	351	683	66	985	1	939	1049	485	78	1337	543
RAD51	15	9	21	1	51	1	30	9	119	1	114	27	21	9	196	17
RAD51AP1	39	25	85	13	24	3	103	12	57	1	137	82	82	25	248	70
RAD51AP2	13	3	4	4	0	0	3	0	0	0	0	3	7	15	0	0
RAD51B	36	62	36	12	77	74	77	118	13	0	76	154	55	25	306	70
RAD51C	15	23	26	15	36	12	47	1	111	6	141	66	23	14	125	44
RAD51D	12	24	25	16	55	2	33	20	17	9	66	71	25	11	87	56
RAD52	40	31	38	29	25	21	81	2	66	0	68	107	21	13	101	67
RAD54B	85	117	142	29	166	35	220	2	168	0	305	242	209	35	490	202
RAD54L	15	20	39	3	10	0	51	67	47	1	166	26	11	13	197	34
RAD54L2	67	236	218	285	247	242	208	4	283	33	251	295	178	108	493	171
RAD9A	8	40	36	13	38	0	30	35	66	0	37	33	13	2	150	11
RAD9B	12	3	8	3	0	0	9	0	0	0	2	26	8	10	11	5
RADIL	2	6	0	1	0	0	1	0	11	0	8	1	1	4	0	2
RAE1	23	49	71	34	85	0	35	0	172	0	117	90	115	26	224	51
RAET1E	8	181	2	8	1	0	8	2	1	0	4	46	1	5	4	26
RAET1G	3	18	1	0	9	0	2	1	3	0	0	1	2	3	0	2
RAET1L	0	17	5	0	0	0	2	0	0	0	0	3	11	2	0	5
RAF1	85	447	291	363	138	242	240	159	407	4	496	574	253	125	5114	363
RAG1	25	6	22	12	30	18	17	0	54	3	29	45	15	38	23	10
RAG2	13	0	1	0	0	0	14	0	0	0	0	9	0	17	0	0
RAI1	39	213	150	113	139	215	185	26	191	15	170	106	99	19	824	71
RAI14	83	698	361	295	935	366	117	15	1051	60	168	281	398	118	1790	222
RAI2	14	80	48	21	21	1	32	0	43	0	17	46	10	4	8	23
RALA	68	398	544	128	1097	157	163	7	1133	3	117	368	207	39	1140	292
RALB	44	382	324	104	679	64	135	35	1160	4	236	257	408	36	1366	167
RALBP1	121	886	893	353	1645	340	548	104	1167	70	5103	670	740	118	7572	503
RALGAPA1	248	967	212	212	498	402	501	35	682	126	409	1542	605	158	1520	840
RALGAPA2	198	467	635	683	2387	658	571	315	1081	24	3143	843	1330	343	946	602
RALGAPB	255	867	1239	333	1069	330	796	112	1079	51	2075	1499	971	163	2352	917
RALGDS	36	591	139	449	177	339	262	116	251	9	225	277	167	37	521	145
RALGPS1	63	105	206	15	144	0	140	25	121	10	405	166	238	32	194	107
RALGPS2	457	708	511	701	429	467	1637	185	444	11	430	3309	1119	280	2074	1927
RALY	84	323	600	143	561	222	290	159	694	35	407	385	241	34	1236	219
RALYL	10	0	4	6	0	0	11	0	3	0	0	0	4	20	0	0
RAMP1	0	7	13	53	4	155	5	60	35	17	7	3	17	17	68	4
RAMP2	6	9	6	5	38	19	15	23	73	0	2	9	3	1	14	11
RAMP3	4	12	3	16	1	17	26	1	40	4	10	32	4	0	5	17
RAN	81	494	529	276	452	169	246	148	2094	20	666	616	517	62	2023	388
RANBP1	26	145	105	99	86	40	86	4	496	7	124	132	72	16	368	79
RANBP10	46	188	251	253	273	200	241	11	394	32	212	183	113	69	381	125
RANBP17	32	47	86	4	4	25	34	1	25	0	95	38	38	48	178	29
RANBP2	543	2431	1430	908	2923	1197	1915	493	2315	57	2417	3802	2837	359	4357	2154
RANBP3	49	139	74	86	268	95	151	42	260	21	189	159	80	20	321	78
RANBP3L	16	0	3	33	10	16	21	0	67	28	4	15	11	39	3	12
RANBP6	103	228	147	144	229	204	314	66	200	33	257	580	325	61	1072	305
RANBP9	115	889	372	216	893	281	383	119	821	5	494	800	245	108	1868	525
RANGAP1	27	199	127	272	147	633	131	70	438	44	244	160	135	26	890	123
RANGRF	6	10	23	6	18	18	17	1	36	0	9	33	9	2	35	23
RAP1A	143	497	225	251	749	162	524	42	1170	52	288	1058	302	67	720	667
RAP1B	227	1066	827	456	459	512	775	180	1404	74	735	1626	954	127	1613	1095
RAP1GAP	14	22	59	94	18	137	19	2	259	4	118	15	170	28	2	8
RAP1GAP2	57	87	208	16	262	61	91	44	162	1	147	138	260	23	1193	76
RAP1GDS1	58	207	83	69	235	67	168	53	128	2	219	388	160	34	527	220
RAP2A	96	510	513	72	715	122	209	67	788	1	421	519	270	32	1636	400
RAP2B	117	1340	250	170	238	406	311	164	361	40	594	606	447	62	1526	409
RAP2C	64	225	187	204	119	193	294	11	371	17	245	530	363	85	1057	360
RAPGEF1	210	471	356	358	492	484	1162	134	703	43	452	1279	430	98	1662	706
RAPGEF2	133	575	382	490	598	232	276	72	281	49	372	573	883	208	892	375
RAPGEF3	19	51	12	9	19	62	22	17	153	2	18	42	42	10	23	25
RAPGEF4	53	100	55	211	47	243	43	3	153	11	57	65	81	91	50	53
RAPGEF5	113	557	419	219	558	310	423	98	682	11	224	404	559	105	429	338
RAPGEF6	377	454	204	200	723	283	1340	30	460	54	672	2246	417	108	613	1395
RAPGEFL1	18	424	203	7	278	20	67	5	299	5	565	133	48	12	78	112
RAPH1	164	1142	992	1390	1363	1397	464	410	1022	209	458	613	1427	909	2409	599
RAPSN	0	0	2	4	0	1	5	0	1	0	0	1	2	1	11	2
RARA	21	106	92	158	198	270	64	39	366	4	39	94	66	14	190	47
RARB	25	58	42	24	32	98	48	25	100	15	23	58	28	24	95	41
RARG	27	385	96	6	66	14	98	76	292	6	179	149	53	6	553	90
RARRES1	9	23	20	14	33	26	2	21	275	0	107	24	66	5	364	9
RARRES2	13	109	54	904	49	626	43	162	410	142	51	54	117	199	214	32
RARRES3	7	14	30	88	8	58	20	1	339	12	51	65	22	16	814	26
RARS	83	312	329	173	568	222	159	89	814	42	425	453	434	68	858	313
RARS2	58	266	242	115	397	168	158	24	618	15	242	445	282	49	350	251
RASA1	143	491	242	136	565	220	292	18	729	5	451	841	731	77	1269	635
RASA2	170	352	284	107	254	213	315	4	361	7	235	1005	252	52	885	710
RASA3	80	261	99	44	104	152	363	21	445	42	107	629	399	33	458	285
RASA4	76	190	73	27	210	114	368	13	260	4	83	365	191	44	132	104
RASA4B	23	38	25	9	31	82	34	9	185	0	14	64	51	7	67	12
RASAL1	9	128	21	4	103	1	24	2	62	0	12	44	49	8	108	24
RASAL2	124	978	520	169	1056	298	188	184	660	44	666	347	1208	103	3276	337
RASAL3	51	47	11	10	8	24	287	14	136	16	48	241	13	6	93	138
RASD1	1	17	31	367	22	322	2	7	30	17	0	4	16	8	5	13
RASD2	8	2	7	0	17	0	14	0	19	0	5	10	1	2	15	3
RASEF	23	60	216	19	382	93	23	60	296	26	189	69	539	20	314	43
RASGEF1A	11	17	3	1	3	7	54	0	70	0	55	46	10	6	10	38
RASGEF1B	52	335	90	315	103	376	98	8	95	0	70	267	194	116	137	132
RASGEF1C	1	1	0	0	0	0	0	0	5	0	1	0	0	2	0	0
RASGRF1	28	5	1	3	3	0	38	1	3	0	8	50	2	25	62	31
RASGRF2	71	136	40	15	18	58	164	2	361	0	51	378	277	54	226	234
RASGRP1	138	289	25	18	28	60	495	31	9	3	160	723	49	43	121	489
RASGRP2	84	28	4	8	4	39	309	9	5	1	8	300	5	16	10	191
RASGRP3	134	101	59	62	53	83	675	3	241	2	66	823	180	48	288	438
RASGRP4	4	3	4	11	0	23	7	0	0	1	6	7	2	7	10	5
RASIP1	3	19	6	10	9	9	15	4	17	0	10	13	8	6	14	9
RASL10A	0	2	1	1	0	0	6	0	0	0	3	1	0	0	0	0
RASL10B	4	4	11	15	19	1	3	4	7	0	3	0	6	4	12	0
RASL11A	4	14	24	32	23	10	11	0	42	0	4	19	13	8	12	21
RASL11B	7	2	1	1	2	4	1	0	39	0	40	4	5	5	13	4
RASL12	5	32	14	0	25	2	15	1	39	0	9	20	7	1	24	12
RASSF1	21	71	56	33	15	18	121	137	56	7	49	113	45	16	120	62
RASSF10	2	53	45	1	270	0	5	0	24	0	0	13	16	1	50	5
RASSF2	333	423	95	110	139	234	1586	123	588	7	364	2240	189	38	285	1319
RASSF3	125	215	505	69	527	160	550	49	476	9	215	555	878	34	644	403
RASSF4	54	48	69	45	45	197	267	26	112	5	281	190	107	21	403	125
RASSF5	121	306	45	128	25	68	576	147	191	14	213	896	83	38	314	537
RASSF6	65	95	131	9	343	1	320	1	187	1	71	380	486	30	245	262
RASSF7	3	12	29	31	37	8	20	1	61	0	17	10	20	3	104	17
RASSF8	61	509	89	153	91	124	83	2	415	7	149	151	126	65	428	80
RASSF9	13	14	4	7	0	22	9	0	15	0	6	43	17	7	0	40
RAVER1	20	72	74	33	86	59	107	35	246	28	137	76	42	8	239	52
RAVER2	87	121	219	80	268	110	50	60	221	1	43	169	199	23	147	85
RAX	1	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0
RAX2	0	1	0	2	1	0	1	3	0	0	0	1	0	2	0	0
RB1	184	544	876	144	149	315	484	6	902	12	512	1119	344	66	562	793
RB1CC1	206	956	934	415	1795	543	677	16	944	16	566	1193	950	191	2153	778
RBAK	30	67	12	28	92	32	43	2	65	5	124	84	37	6	152	55
RBAK-LOC389458	4	8	8	3	24	55	8	0	31	0	20	16	7	11	20	7
RBBP4	329	897	650	379	1468	444	2067	93	2201	33	2195	2171	756	176	2053	1418
RBBP5	78	246	180	161	232	101	232	95	415	27	253	432	273	73	645	253
RBBP6	208	891	584	289	1121	403	1071	96	477	49	893	1088	396	109	1304	639
RBBP7	77	299	483	165	416	102	279	6	685	8	671	521	285	41	735	284
RBBP8	63	505	102	154	287	158	235	1	205	2	308	270	305	43	662	173
RBBP9	32	147	57	149	204	214	146	85	503	1	154	158	103	44	553	121
RBCK1	31	102	136	65	131	98	126	19	308	12	269	133	133	23	563	86
RBFA	31	80	63	127	102	95	104	16	74	33	214	113	74	36	218	86
RBFOX1	20	3	1	5	0	14	13	5	4	0	1	1	1	30	0	3
RBFOX2	135	1242	420	281	1489	726	297	237	1124	61	618	483	504	174	2081	383
RBFOX3	3	1	0	2	4	0	4	6	8	0	0	0	0	3	0	2
RBKS	9	6	14	45	4	19	5	0	24	7	12	8	19	17	42	5
RBL1	86	134	140	33	238	60	246	55	167	4	388	454	83	49	723	299
RBL2	423	856	885	520	1445	709	1205	103	1452	112	1083	2544	810	292	2244	1422
RBM10	30	127	112	88	138	131	155	14	292	21	66	182	152	34	258	116
RBM11	9	6	6	0	1	0	5	0	19	0	25	9	1	9	1	6
RBM12	3	3	10	0	0	0	1	0	1	0	10	23	15	2	38	23
RBM12B	139	169	254	54	237	35	380	59	389	1	314	865	445	35	914	440
RBM14	3	12	2	5	0	2	16	11	0	0	23	22	23	6	74	9
RBM14-RBM4	18	54	37	41	30	74	59	7	268	8	77	72	39	14	105	41
RBM15	101	179	172	176	221	150	537	242	326	38	558	503	215	44	495	304
RBM15B	63	323	389	157	497	76	260	212	382	15	590	382	216	46	1037	286
RBM17	108	369	418	200	467	308	416	88	608	8	340	593	337	74	777	309
RBM18	42	96	85	61	98	32	86	27	243	0	191	269	196	30	460	157
RBM19	109	258	163	133	222	154	553	61	283	11	277	509	174	33	643	296
RBM20	21	8	15	3	16	0	35	10	13	2	5	41	10	32	1	26
RBM22	64	211	179	103	156	77	188	22	746	2	257	355	239	57	418	194
RBM23	83	225	113	170	141	165	217	8	325	1	163	391	198	60	752	224
RBM24	11	23	15	15	1	2	7	0	26	0	3	14	17	14	51	17
RBM25	268	994	377	351	757	587	1055	314	985	17	763	1601	614	123	1653	813
RBM26	207	456	570	177	803	150	760	60	650	1	478	1130	432	67	1443	601
RBM27	177	505	320	337	725	286	630	7	766	74	555	1097	596	79	1048	604
