Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
HSF5	22	0	0	1	4	0	2	2	9	0	7	2	2	0
HSFX1	5	2	4	1	14	0	3	11	2	5	8	4	1	5
HSFX2	4	3	5	4	6	0	1	7	1	4	13	2	0	6
HSFY1	2	0	1	0	1	0	0	0	1	0	0	0	0	1
HSFY2	7	0	0	0	0	0	0	1	3	0	3	1	0	0
HSH2D	24	18	35	19	160	2	16	97	8	89	52	18	5	81
HSP90AA1	2912	1150	11058	1910	15018	252	1165	12459	722	9692	11933	549	1812	13182
HSP90AB1	2015	1265	13135	1741	13277	304	1039	10054	659	6613	10775	1003	909	10428
HSP90B1	2076	1170	32111	3013	13360	156	639	14277	426	12860	14245	441	375	14822
HSPA12A	36	19	53	32	105	24	43	153	34	38	73	45	31	50
HSPA12B	6	20	15	8	13	3	6	30	5	13	25	15	1	12
HSPA13	96	32	733	94	759	4	42	668	31	372	787	22	33	625
HSPA14	51	43	117	27	155	6	15	131	8	87	143	16	10	107
HSPA1A	2289	1244	1346	148	7747	47	389	3878	178	5535	3269	60	609	5851
HSPA1B	1624	1666	2093	330	8158	164	1036	4177	355	4866	3222	395	1552	4871
HSPA1L	27	7	43	11	31	5	10	39	6	29	51	15	18	38
HSPA2	17	1	15	0	45	3	2	84	2	20	37	10	9	44
HSPA4	246	185	1132	212	1744	14	91	1211	53	740	1035	66	101	1022
HSPA4L	57	6	51	22	269	5	19	379	18	39	107	11	17	83
HSPA5	950	371	5471	1044	3433	44	210	5282	121	3737	3204	153	277	4269
HSPA6	11	5	1	2	8	1	3	10	4	11	4	6	70	6
HSPA8	1791	678	15950	1947	15470	146	1028	14158	490	9032	11689	444	628	13582
HSPA9	544	178	4512	594	5421	70	232	3943	172	2549	4059	193	201	3896
HSPB1	167	608	154	113	434	55	223	473	135	211	222	142	409	268
HSPB11	35	10	151	35	144	4	20	138	2	80	120	9	5	101
HSPB2	3	0	3	0	7	2	3	18	4	3	2	7	9	0
HSPB3	3	0	0	0	0	0	2	13	0	0	1	4	1	5
HSPB6	54	1378	42	117	81	442	658	240	292	73	123	652	454	51
HSPB7	25	30	8	14	50	7	47	103	14	27	48	18	17	44
HSPB8	123	49	141	65	618	70	290	983	100	175	571	124	257	294
HSPB9	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HSPBAP1	21	20	43	10	64	1	10	114	9	52	75	4	16	114
HSPBP1	20	22	52	12	86	9	13	71	9	31	72	37	19	47
HSPD1	355	146	2498	377	4345	47	335	2775	128	2093	2665	131	387	3224
HSPE1	62	27	337	36	451	3	9	356	4	272	329	1	28	362
HSPE1-MOB4	76	38	158	91	341	23	119	257	57	256	229	31	112	239
HSPG2	690	1096	918	446	1662	231	564	2807	387	858	2007	612	499	1143
HSPH1	249	120	697	145	1147	32	248	1496	110	700	1047	48	653	912
HTATIP2	34	13	504	51	231	0	16	214	12	109	230	13	11	149
HTATSF1	168	132	831	168	985	21	82	863	59	459	826	89	75	674
HTN1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HTR1A	6	0	0	0	0	0	0	0	2	0	1	2	0	0
HTR1B	4	0	0	0	1	0	3	1	0	0	1	0	0	0
HTR1D	22	0	3	1	6	3	0	4	6	0	0	10	4	0
HTR1E	10	7	0	0	0	2	1	1	4	0	0	22	3	1
HTR1F	23	1	3	2	15	0	1	11	6	10	11	3	3	4
HTR2A	25	0	1	0	4	3	2	13	4	3	12	0	0	6
HTR2B	8	0	3	1	12	2	3	14	2	1	2	1	2	4
HTR2C	11	0	2	0	18	1	2	24	3	0	2	1	0	8
HTR3A	15	0	0	0	0	3	1	0	1	0	0	2	0	0
HTR3B	17	0	1	0	0	1	1	0	0	1	0	0	0	0
HTR3C	15	0	0	0	1	0	1	0	3	0	0	6	0	0
HTR3D	8	0	0	0	0	0	0	0	10	0	0	5	1	0
HTR3E	14	0	0	0	2	0	1	0	1	0	0	1	0	0
HTR4	25	0	4	0	3	1	1	0	5	2	2	6	4	0
HTR5A	29	0	1	0	0	2	0	0	5	0	0	2	1	0
HTR6	3	0	0	0	0	1	1	1	3	0	0	8	2	0
HTR7	18	2	6	5	14	1	5	14	3	5	2	4	0	1
HTRA1	75	83	199	79	503	31	100	686	56	174	391	47	51	266
HTRA2	24	4	49	13	70	3	16	74	13	40	51	19	5	44
HTRA3	28	16	35	9	83	3	24	75	9	48	53	16	13	64
HTRA4	24	6	7	2	7	0	2	11	4	0	6	1	3	2
HTT	400	181	871	347	1218	45	241	1287	174	918	1208	163	131	982
HUNK	47	44	37	9	62	2	17	111	15	6	59	36	4	28
HUS1	53	41	235	67	262	7	55	221	26	193	275	32	31	204
HUWE1	1351	1384	4637	1715	6788	273	1184	5776	648	4725	5007	808	799	5570
HVCN1	12	30	13	11	53	5	7	81	5	22	48	6	5	24
HYAL1	12	13	9	6	18	2	1	22	7	4	16	12	8	5
HYAL2	25	8	153	21	206	9	16	195	11	108	147	16	9	126
HYAL3	9	3	11	4	30	3	16	29	8	19	25	5	2	17
HYAL4	17	0	0	0	0	1	2	1	5	2	1	1	0	0
HYDIN	294	100	29	34	148	18	114	271	89	287	270	82	56	127
HYI	33	38	239	58	239	7	20	259	17	82	187	12	11	118
HYLS1	23	16	92	11	140	3	7	72	7	102	75	1	3	144
HYOU1	382	273	3589	488	1909	52	144	2000	95	1781	1335	193	120	1796
HYPK	58	29	356	42	254	5	6	164	19	204	302	17	20	210
IAH1	40	45	141	25	172	4	26	128	7	88	129	21	12	140
IAPP	19	5	0	0	2	0	2	0	3	1	0	1	0	4
IARS	265	130	1692	266	1985	47	204	1782	107	1028	1666	108	174	1693
IARS2	253	128	1536	259	2148	30	122	1406	73	1096	1397	62	92	1628
IBA57	49	49	114	73	128	28	73	113	65	87	86	71	61	80
IBSP	13	0	0	0	2	0	0	0	6	0	0	0	0	0
IBTK	237	77	865	148	1320	24	164	1182	110	942	1053	85	156	1234
ICA1	104	20	944	222	925	14	57	396	17	670	654	38	39	749
ICA1L	129	83	123	82	235	44	92	326	75	122	315	65	55	168
ICAM1	30	45	105	33	326	24	44	286	21	83	126	48	48	92
ICAM2	10	1	14	2	25	0	3	35	4	10	18	5	6	2
ICAM3	15	28	67	20	56	0	9	43	2	31	47	22	0	43
ICAM4	4	1	1	0	1	0	0	3	1	1	0	2	3	0
ICAM5	3	1	1	2	3	2	0	1	4	2	8	2	1	0
ICK	219	111	1127	278	1352	59	301	1153	120	938	939	84	171	1605
ICMT	127	86	737	122	1205	30	144	921	82	573	836	103	74	799
ICOS	9	0	6	6	18	0	10	29	6	8	9	2	7	17
ICOSLG	20	12	32	15	81	5	20	99	9	37	57	21	9	65
ICT1	13	3	133	26	149	5	11	110	3	86	121	8	7	107
ID1	70	43	68	30	983	12	12	1013	26	46	150	14	7	69
ID2	78	73	249	111	684	8	87	736	67	118	349	21	92	210
ID3	35	32	22	9	290	13	17	287	9	35	86	44	13	36
ID4	201	124	98	53	859	27	130	1469	75	205	589	61	68	495
IDE	249	113	998	185	1608	11	117	1180	89	864	1322	63	76	1033
IDH1	781	199	2820	327	8201	57	175	4059	118	2975	3410	68	169	3825
IDH2	165	102	1199	127	1278	15	44	1008	37	586	1077	47	35	814
IDH3A	81	30	398	90	673	16	73	611	44	313	538	34	54	425
IDH3B	57	38	259	32	321	7	26	340	20	205	283	43	11	274
IDH3G	35	17	220	33	297	4	8	201	12	149	217	9	6	198
IDI1	109	55	567	84	764	18	40	550	56	418	697	24	31	560
IDI2	13	0	1	0	5	1	0	2	2	3	2	1	1	1
IDNK	19	11	25	14	33	5	9	54	14	42	44	11	17	37
IDO1	16	4	15	12	12	0	2	32	5	9	12	1	0	17
IDO2	20	0	1	0	2	0	1	2	3	2	0	1	0	0
IDS	253	291	804	350	1058	137	401	1159	219	563	875	259	351	710
IDUA	28	14	57	11	79	1	5	83	6	46	83	9	1	57
IER2	89	330	564	545	506	46	268	609	107	216	238	201	287	514
IER3	20	72	87	68	363	10	53	365	30	64	90	40	38	66
IER3IP1	70	67	620	89	474	6	36	370	25	260	585	26	38	406
IER5	23	17	20	14	147	7	15	170	8	37	48	19	28	45
IER5L	13	29	25	9	128	3	12	171	9	24	49	10	8	46
IFFO1	18	61	16	24	69	4	23	141	11	34	75	28	13	35
IFFO2	63	86	243	79	495	45	82	503	53	125	251	52	50	126
IFI16	183	195	205	106	778	37	95	971	94	346	378	73	68	269
IFI27	5	5	30	7	52	0	2	101	4	32	30	0	2	27
IFI27L1	8	0	7	2	21	2	0	13	1	12	25	3	0	17
IFI27L2	8	2	3	2	12	0	1	18	6	8	12	6	1	3
IFI30	26	46	52	33	417	19	40	384	14	153	95	25	42	111
IFI35	48	36	58	7	165	7	15	160	17	62	85	17	13	81
IFI44	74	15	58	30	206	31	28	386	8	61	139	10	17	91
IFI44L	93	60	53	38	175	53	86	346	32	46	81	38	31	51
IFI6	239	221	111	25	490	53	171	944	52	368	187	60	286	717
IFIH1	129	44	354	50	545	7	23	472	16	228	358	31	16	402
IFIT1	116	33	55	15	276	6	15	321	20	53	137	22	18	120
IFIT1B	14	0	0	0	0	0	0	0	1	0	0	0	2	0
IFIT2	60	14	46	17	203	14	13	203	17	34	84	12	23	75
IFIT3	61	31	33	11	176	5	10	240	8	36	61	11	8	39
IFIT5	113	27	217	48	407	29	48	423	31	114	269	11	30	190
IFITM1	46	93	86	31	447	11	19	546	19	79	145	15	16	78
IFITM10	13	18	4	11	17	4	7	34	15	13	12	6	6	4
IFITM2	20	49	57	38	128	53	80	264	34	85	88	48	120	83
IFITM3	51	150	116	86	346	75	136	793	52	126	228	65	145	118
IFITM5	1	0	0	0	0	0	0	0	0	0	0	2	0	0
IFLTD1	46	0	0	0	0	2	3	1	2	1	1	7	0	1
IFNA1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA10	3	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA13	5	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA14	7	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA16	6	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA17	1	0	0	0	0	0	0	0	1	0	0	0	0	0
IFNA2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA21	9	0	0	0	0	1	0	0	1	0	0	0	0	0
IFNA4	4	0	0	0	0	0	0	0	2	0	0	0	0	0
IFNA5	5	0	1	0	0	0	0	0	0	0	0	2	1	0
IFNA6	3	0	0	0	0	2	0	0	1	0	0	1	0	0
IFNA7	7	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA8	4	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNAR1	310	194	1124	293	1839	83	252	1628	159	1096	1603	105	154	1601
IFNAR2	68	50	73	63	138	10	42	188	18	64	123	39	33	76
IFNB1	2	0	0	0	0	0	0	0	1	0	0	0	0	0
IFNE	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IFNG	7	0	5	3	3	1	6	2	0	0	0	0	0	3
IFNGR1	164	51	1207	148	1167	10	67	1114	43	468	972	17	42	548
IFNGR2	112	43	649	123	791	25	95	633	74	348	655	53	66	628
IFNK	8	0	1	0	0	0	0	0	2	0	0	1	0	0
IFNW1	9	0	0	0	0	0	0	0	1	0	0	1	0	0
IFRD1	122	43	636	145	853	28	95	781	55	566	1068	54	69	596
IFRD2	30	76	205	33	252	39	44	174	18	128	141	158	22	101
IFT122	131	95	255	72	392	12	57	414	45	252	362	36	24	294
IFT140	80	60	249	97	132	14	36	170	23	80	288	48	29	147
IFT172	203	99	185	116	484	10	70	460	44	233	418	67	47	300
IFT20	41	23	153	36	246	4	45	218	25	115	202	8	12	153
IFT27	33	23	92	22	118	1	8	119	3	82	131	7	7	96
IFT43	26	5	44	11	98	6	12	93	9	33	60	14	13	64
IFT46	96	40	261	72	409	13	42	394	41	200	289	34	44	315
IFT52	40	22	127	24	139	1	19	154	10	60	149	20	16	91
IFT57	272	117	964	164	2975	51	57	1544	61	743	867	43	61	1826
IFT74	95	30	393	81	419	0	20	339	16	233	439	8	7	354
IFT80	127	36	307	99	499	11	60	491	45	303	503	36	58	424
IFT81	103	56	196	71	349	12	43	422	24	174	389	34	20	245
IFT88	99	55	367	94	295	8	40	280	26	143	405	20	45	252
IGBP1	128	53	954	137	892	17	90	747	56	546	587	37	43	861
IGDCC3	15	0	6	0	0	1	3	4	0	0	5	10	3	0
IGDCC4	32	55	12	3	4	7	27	18	22	3	15	25	13	3
IGF1	654	1428	707	558	1224	450	1299	1848	978	2553	2513	831	791	2315
IGF1R	756	387	2458	867	3933	167	447	2158	440	3440	2946	411	351	3051
IGF2	6	3429	37	59	110	21	113	138	100	16	197	3	155	82
IGF2BP1	43	1	2	0	0	5	2	0	6	0	0	16	1	1
IGF2BP2	94	49	12	10	43	14	24	76	13	24	45	35	19	18
IGF2BP3	38	8	0	0	6	3	3	6	10	3	1	6	5	0
IGF2R	560	396	2658	690	2479	59	327	2732	247	3047	3446	258	181	3849
IGFALS	1	0	0	0	1	1	0	0	1	1	1	1	1	0
IGFBP1	4	0	0	0	0	1	0	0	1	0	0	1	0	0
IGFBP2	77	62	1151	161	972	31	79	963	60	1474	839	65	71	1333
IGFBP3	189	119	352	154	1451	106	235	1816	122	306	657	68	204	601
IGFBP4	140	496	152	199	609	182	418	973	246	189	420	430	302	208
IGFBP5	927	1694	5212	1788	4704	722	2510	4982	1529	2711	2998	1957	951	2522
IGFBP6	56	91	46	11	253	3	37	286	8	71	109	32	16	109
IGFBP7	416	260	1286	485	4430	50	218	5349	164	1700	3070	53	282	1618
IGFBPL1	5	0	3	2	2	2	3	4	2	2	1	1	0	1
IGFL1	2	0	0	0	0	0	1	1	3	0	0	7	1	0
IGFL2	5	1	0	0	0	2	1	1	3	0	0	6	2	0
IGFL3	9	0	1	0	0	0	1	0	3	0	0	16	2	0
IGFL4	4	5	0	0	0	0	0	0	3	0	0	3	3	0
IGFLR1	1	8	7	1	7	2	2	8	1	4	8	9	3	6
IGFN1	104	11	4	22	9	22	48	37	28	10	4	59	39	5
IGHMBP2	35	12	82	47	182	5	33	152	15	110	134	22	13	129
IGIP	89	19	297	117	406	19	98	391	80	274	383	40	52	363
IGJ	298	1154	1872	2193	454	51	41	140	234	664	177	246	73	189
IGLL1	7	3	0	3	0	0	2	0	3	0	0	3	1	0
IGLL5	18	153	194	385	73	6	12	34	10	81	22	22	12	27
IGLON5	11	0	0	0	0	3	4	2	3	0	0	9	3	4
IGSF1	49	21	5	7	22	3	6	51	8	13	83	18	1	7
IGSF10	67	32	1	4	6	4	8	10	15	3	11	20	11	5
IGSF11	22	2	0	0	5	1	3	3	5	3	2	3	8	2
IGSF21	21	9	140	23	270	1	4	66	9	18	7	8	5	6
IGSF22	37	1	0	1	5	2	1	7	10	1	4	19	4	5
IGSF23	4	0	0	0	0	3	0	0	1	0	0	2	0	0
IGSF3	119	35	168	59	594	18	56	369	62	393	259	27	30	564
IGSF5	23	3	10	4	17	2	1	8	4	10	18	3	2	30
IGSF6	12	3	19	7	56	3	5	58	6	40	17	5	4	19
IGSF8	44	16	372	44	226	2	18	189	11	158	229	24	15	217
IGSF9	33	31	40	16	51	5	9	38	15	31	80	36	8	41
IGSF9B	18	104	19	51	30	27	85	118	41	29	65	105	83	49
IHH	4	1	16	5	28	2	2	30	4	10	11	2	1	10
IK	315	251	1375	196	1655	17	166	1805	69	832	1289	81	75	1052
IKBIP	62	26	63	21	157	7	12	157	14	51	136	10	7	66
IKBKAP	182	117	705	212	986	31	140	801	86	556	888	104	101	703
IKBKB	177	130	793	309	1132	34	116	798	70	435	823	94	59	431
IKBKE	20	17	14	13	54	4	3	57	12	31	27	8	3	13
IKBKG	23	59	82	20	127	11	13	109	12	56	108	23	11	79
IKZF1 (NC_000007 50344377..50367358)	4	6	7	5	5	0	6	4	3	2	4	2	1	2
IKZF1 (NC_000007 50444230..50472799)	61	53	374	189	102	17	115	135	48	88	200	96	65	70
IKZF2	147	57	370	146	929	42	138	641	126	322	345	42	117	671
IKZF3	149	167	95	176	147	19	47	116	59	108	82	73	49	102
IKZF4	38	80	40	38	63	35	64	68	59	40	53	88	89	43
IKZF5	45	32	78	31	123	4	27	94	29	104	95	10	23	103
IL10	12	0	2	0	9	3	1	2	2	2	2	11	1	2
IL10RA	24	86	45	43	136	2	26	165	7	88	81	31	17	63
IL10RB	59	72	224	49	342	7	41	379	23	146	331	32	25	245
IL11	1	0	3	1	9	5	3	4	3	5	3	6	7	1
IL11RA	27	34	26	14	85	4	20	64	16	29	62	18	3	55
IL12A	11	0	1	0	2	0	0	8	3	1	3	0	0	1
IL12B	16	0	1	1	1	0	0	5	4	3	0	5	0	1
IL12RB1	15	34	1	3	8	1	5	11	9	5	7	12	3	4
IL12RB2	38	0	1	0	3	0	2	11	10	2	0	2	3	3
IL13	10	0	0	0	9	0	0	0	2	0	0	0	3	1
IL13RA1	88	75	550	118	1186	44	165	1139	56	337	702	85	122	738
IL13RA2	6	0	9	1	166	1	5	68	4	11	27	0	10	35
IL15	40	6	6	6	12	2	3	26	7	6	18	15	1	5
IL15RA	18	27	37	7	42	2	12	42	9	16	35	26	4	15
IL16	83	70	29	52	94	15	52	101	31	65	72	39	16	57
IL17A	14	0	3	4	0	0	0	0	0	0	0	7	0	0
IL17B	1	0	1	0	4	0	0	3	1	0	0	3	0	0
IL17C	3	0	0	0	0	0	0	0	1	1	0	8	0	0
IL17D	4	3	40	2	8	6	6	20	4	13	15	6	2	7
IL17F	6	0	0	1	0	1	0	0	3	0	0	0	0	0
IL17RA	133	178	426	153	287	18	101	414	86	391	404	101	63	282
IL17RB	23	0	46	13	97	3	4	52	6	30	21	10	3	33
IL17RC	91	34	184	26	432	10	30	315	19	232	250	34	20	308
IL17RD	180	50	167	76	391	47	184	546	56	185	317	81	140	316
IL17RE	34	15	4	3	78	2	7	36	10	26	24	19	7	8
IL17REL	11	1	1	1	5	3	2	1	10	3	0	20	3	0
IL18	23	1	8	1	73	1	3	51	4	7	108	2	0	9
IL18BP	26	15	19	15	67	5	30	97	20	57	73	19	25	52
IL18R1	43	9	27	15	85	4	20	79	23	40	58	4	9	22
IL18RAP	29	0	7	1	17	0	2	16	3	9	5	3	1	5
IL19	16	0	0	0	0	0	0	0	2	0	1	2	1	0
IL1A	25	0	0	0	1	0	2	0	8	1	0	1	0	1
IL1B	13	15	20	22	97	2	9	51	3	6	9	11	29	17
IL1F10	11	0	0	0	1	1	0	0	0	0	0	5	0	0
IL1R1	704	348	1399	340	2601	194	545	3586	379	4744	3047	284	368	4781
IL1R2	9	7	0	0	8	0	1	4	2	2	2	0	1	0
IL1RAP	87	15	267	44	407	8	28	284	23	111	317	20	12	185
IL1RAPL1	11	13	289	24	12	1	8	19	3	67	14	12	20	35
IL1RAPL2	12	0	4	1	2	0	3	4	7	0	5	3	0	2
IL1RL1	49	15	29	10	50	5	40	111	31	33	49	6	20	24
IL1RL2	21	2	3	0	19	1	1	21	7	27	11	10	0	8
IL1RN	20	4	5	7	28	11	8	22	8	3	2	25	14	8
IL2	13	0	0	2	1	0	0	2	1	1	0	0	0	0
IL20	8	0	1	0	2	0	0	2	3	0	0	0	1	0
IL20RA	35	10	879	115	380	6	38	292	26	171	428	11	12	350
IL20RB	16	10	13	2	9	1	3	13	1	8	15	2	0	8
IL21	6	0	0	0	0	0	0	1	0	0	1	1	0	1
IL21R	25	30	4	6	7	2	7	13	11	3	3	35	11	9
IL22	9	0	0	0	0	0	0	0	2	0	0	4	1	0
IL22RA1	13	1	0	1	8	4	4	13	1	1	4	11	9	1
IL22RA2	24	0	0	0	1	1	0	1	2	0	0	6	0	0
IL23A	10	0	2	1	3	0	0	9	0	1	2	0	0	0
IL23R	20	2	2	2	2	0	3	2	4	5	1	5	0	3
IL24	17	0	0	0	0	0	0	2	1	0	0	3	1	1
IL25	7	0	0	0	0	0	1	1	4	0	0	7	0	0
IL26	5	0	0	0	0	0	0	0	0	0	0	0	0	1
IL27	4	0	0	0	0	0	0	0	4	0	0	4	2	0
IL27RA	28	12	35	18	40	3	7	79	9	19	54	23	2	35
IL28A	3	0	0	0	0	0	0	0	0	0	0	1	0	0
IL28B	3	0	0	0	0	0	0	0	0	0	0	0	0	0
IL28RA	71	28	40	14	190	6	12	122	25	127	98	18	16	157
IL29	5	1	0	0	0	0	0	1	1	0	0	0	0	0
IL2RA	27	1	4	3	10	0	0	19	7	9	8	4	5	7
IL2RB	25	48	7	24	13	12	19	37	7	9	8	29	16	7
IL2RG	17	24	28	27	38	6	7	54	6	36	25	20	19	42
IL3	10	0	0	0	0	0	1	0	3	0	0	13	0	0
IL31	6	0	0	0	0	0	0	0	3	0	0	0	0	0
IL31RA	28	0	1	0	1	0	1	1	3	4	1	0	7	14
IL32	32	83	37	26	129	13	26	124	24	61	56	35	36	56
IL33	93	101	173	60	471	19	86	927	48	165	413	22	107	240
IL34	12	8	3	5	11	1	6	14	3	8	13	2	5	2
IL36A	4	0	0	0	0	0	0	0	2	0	0	1	0	0
IL36B	10	0	0	0	0	1	2	0	4	0	0	7	1	0
IL36G	3	0	0	0	0	1	0	0	2	0	0	0	0	0
IL36RN	13	0	0	0	1	0	0	0	3	0	0	3	0	0
IL37	3	0	0	1	1	0	0	0	3	0	0	2	0	0
IL3RA (NC_000023 1455508..1501582)	6	0	7	3	12	0	0	19	1	7	11	2	2	5
IL3RA (NC_000024 1405508..1451582)	7	0	5	1	11	0	3	20	1	6	10	2	1	10
IL4	6	0	0	0	0	0	0	0	0	0	0	1	0	0
IL4I1	14	22	14	14	19	1	9	30	8	18	12	10	1	20
IL4R	98	190	85	62	411	25	59	458	41	123	239	60	52	167
IL5	6	0	0	0	0	0	1	0	2	0	0	1	0	0
IL5RA	47	2	51	6	334	10	7	35	25	287	14	6	45	463
IL6	4	0	5	6	33	3	9	52	2	2	2	6	10	3
IL6R	85	59	102	60	298	11	60	180	43	159	172	47	40	146
IL6ST	1169	652	3501	1009	8528	425	1487	9027	802	3344	5196	465	1189	5363
IL7	24	13	27	16	51	3	10	44	10	17	35	0	15	16
IL7R	79	46	159	152	435	38	139	399	137	398	107	92	110	240
IL8	8	5	23	4	81	1	3	37	16	6	12	1	10	5
IL9	3	0	0	0	0	0	0	0	0	0	0	0	0	0
IL9R (NC_000023 155227245..155240482)	2	3	0	3	1	2	0	3	2	0	0	4	0	0
IL9R (NC_000024 59330251..59343488)	3	1	0	1	1	1	0	2	0	0	0	3	1	1
ILDR1	36	6	180	31	268	6	15	152	10	154	152	15	16	209
ILDR2	53	24	29	18	63	29	28	166	30	15	32	11	20	38
ILF2	204	115	1999	245	1537	20	91	1110	55	833	1353	58	43	1098
ILF3	479	502	1765	565	2335	57	367	2006	254	1712	2330	275	202	1815
ILK	228	145	539	123	1407	30	142	1813	73	477	1099	58	108	922
ILKAP	51	34	119	61	192	12	48	205	29	100	196	36	25	175
ILVBL	23	12	21	11	110	3	12	102	13	40	74	19	3	64
IMMP1L	10	1	22	7	20	0	2	29	2	26	31	0	3	26
IMMP2L	33	9	116	23	133	1	12	136	16	71	98	8	20	116
IMMT	138	74	525	130	1013	6	55	876	50	547	715	25	34	656
IMP3	32	17	216	39	294	11	30	223	35	124	218	25	22	228
IMP4	18	22	62	16	160	5	10	105	19	67	87	29	16	99
IMPA1	65	7	178	48	405	9	42	225	30	257	187	9	95	354
IMPA2	21	17	81	24	131	8	19	69	9	86	122	6	19	99
IMPACT	158	73	950	229	678	52	124	684	64	550	896	54	101	915
IMPAD1	422	227	2118	500	3566	190	582	2911	333	1462	3061	222	522	1950
IMPDH1	64	62	324	71	457	13	61	210	34	333	318	70	43	364
IMPDH2	189	64	2158	376	1486	32	187	1031	75	761	1208	135	74	1455
IMPG1	36	0	3	1	0	0	3	1	2	0	3	2	1	0
IMPG2	71	1	12	3	3	2	3	19	10	25	17	9	6	15
INA	9	0	43	3	5	2	1	8	6	5	3	4	1	5
INADL	555	390	2229	672	2705	58	288	2160	213	1670	1975	168	232	2680
INCA1	13	5	7	3	6	1	2	10	1	9	10	5	4	4
INCENP	41	34	87	25	110	1	20	105	12	65	104	16	21	82
INF2	66	73	168	52	111	10	35	177	32	158	183	57	18	114
ING1	46	24	296	94	232	5	68	285	22	149	225	18	33	175
ING2	37	25	131	27	111	3	14	92	11	80	111	6	13	89
ING3	58	45	560	109	281	1	29	258	20	155	251	22	12	227
ING4	69	21	310	39	247	11	21	267	24	112	325	24	8	256
ING5	61	116	256	79	314	14	61	336	46	242	365	84	33	280
INHA	2	0	1	1	0	1	1	1	3	1	8	9	2	5
INHBA	13	11	27	15	63	2	15	113	9	19	49	16	12	17
INHBB	51	31	174	56	208	13	69	187	25	227	270	35	27	220
INHBC	4	0	1	0	0	0	0	0	1	1	3	2	2	0
INHBE	6	3	0	0	0	2	1	2	4	2	3	6	1	1
INIP	27	2	166	38	208	1	14	166	17	114	152	5	22	179
INMT	130	107	156	59	454	43	38	784	42	149	339	20	42	282
INO80	210	140	564	218	832	23	112	778	118	597	606	75	94	684
INO80B	69	27	181	24	265	1	15	266	18	209	261	8	5	210
INO80C	63	1	32	19	22	2	6	30	16	29	36	19	13	27
INO80D	349	379	1142	534	1269	171	488	1373	352	1062	1231	344	423	1453
INO80E	29	31	117	28	166	12	24	131	9	105	153	18	15	126
INPP1	24	25	74	26	69	3	28	142	12	25	77	10	7	30
INPP4A	113	114	216	123	427	30	117	567	63	248	386	76	43	284
INPP4B	137	64	138	61	280	12	51	351	40	675	287	29	46	1172
INPP5A	84	47	279	88	604	22	100	583	66	289	467	48	112	410
INPP5B	61	57	101	55	315	20	92	288	32	118	206	75	57	184
INPP5D (NC_000002 233925035..233995880)	21	8	13	10	45	2	3	46	4	25	22	2	3	20
INPP5D (NC_000002 234054794..234116549)	102	57	45	32	131	7	25	176	21	60	119	22	17	66
INPP5E	17	27	50	21	70	3	16	52	17	39	46	15	6	53
INPP5F	98	83	267	78	425	30	77	491	57	212	344	41	65	249
INPP5J	9	0	14	5	57	3	3	46	4	12	20	9	1	8
INPP5K	35	8	129	24	216	10	27	162	13	102	133	28	10	139
INPPL1	151	225	845	289	970	31	152	986	85	586	1037	144	57	674
INS	0	0	0	0	0	0	0	0	0	0	0	0	1	0
INS-IGF2	2	0	0	0	0	0	0	0	0	0	0	5	0	0
INSC	11	10	1	1	3	0	0	2	3	2	0	2	1	0
INSIG1	170	55	1033	210	1120	71	100	703	117	599	924	70	91	911
INSIG2	73	36	137	74	403	27	82	338	50	148	192	30	70	256
INSL3	0	0	1	0	0	1	0	0	1	0	0	0	0	1
INSL4	6	0	0	0	0	0	0	0	0	0	0	5	0	0
INSL5	1	0	0	0	0	0	0	0	1	0	0	0	0	0
INSL6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
INSM1	4	9	53	21	5	0	4	8	2	23	66	9	7	9
INSM2	9	0	0	0	0	3	1	0	3	0	0	5	1	0
INSR	328	356	1244	515	2702	134	370	2210	315	1474	1485	256	257	2404
