Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
TIA1	2013	1221	1054	1267	2112	94	1317	1107	266	5950
TIAF1	0	0	0	0	0	0	1	0	0	0
TIAL1	904	664	237	970	653	38	422	560	138	2037
TIAM1	2011	1381	494	2063	2502	93	848	651	228	6077
TIAM2	10	12	17	7	8	34	34	28	28	80
TICAM1	29	21	14	50	12	1	20	15	10	79
TICAM2	0	3	0	1	2	0	1	2	0	2
TICRR	42	55	40	199	189	40	30	315	53	292
TIE1	23	57	5	9	31	8	20	23	14	52
TIFA	416	543	172	299	217	48	104	115	59	2674
TIFAB	2	2	1	1	0	3	1	0	4	1
TIGD1	156	67	104	125	105	132	278	232	239	513
TIGD2	345	497	112	224	243	15	76	173	39	963
TIGD3	2	2	3	1	9	2	8	11	3	19
TIGD4	23	23	13	15	18	10	38	21	15	81
TIGD5	27	129	26	19	17	5	9	12	5	143
TIGD6	181	173	46	81	78	17	81	33	21	183
TIGD7	79	42	43	93	93	21	58	88	17	123
TIGIT	3	34	14	5	10	9	12	16	21	35
TIMD4	1	12	5	0	1	8	5	0	17	17
TIMELESS	401	345	185	369	439	44	131	632	86	1107
TIMM10	171	189	81	90	75	10	58	99	21	243
TIMM13	297	440	170	275	297	19	125	88	45	840
TIMM17A	280	589	208	290	278	23	259	226	45	990
TIMM17B	66	86	36	54	67	7	42	75	13	303
TIMM21	229	297	132	180	129	27	125	42	39	464
TIMM22	126	122	62	72	48	3	62	69	13	290
TIMM23	585	585	193	385	417	27	254	106	51	1422
TIMM23B	16	5	9	8	16	0	9	3	6	25
TIMM44	186	223	115	176	206	11	78	104	23	415
TIMM50	145	168	61	143	155	20	85	77	32	411
TIMM8A	63	94	34	73	75	2	27	41	12	129
TIMM8B	195	293	73	111	150	5	73	141	35	638
TIMM9	172	201	55	154	84	11	90	79	25	277
TIMMDC1	927	1688	365	462	604	58	458	394	98	2057
TIMP1	168	402	52	134	125	15	90	71	37	590
TIMP2	132	224	17	65	51	11	94	91	30	351
TIMP3	616	1319	5151	485	504	160	343	207	193	8225
TIMP4	9	15	10	0	2	10	20	51	14	37
TINAG	2	0	6	0	0	14	11	11	9	19
TINAGL1	1761	1162	437	860	2855	213	936	1452	326	15115
TINF2	449	455	162	176	158	33	213	245	58	865
TIPARP	1188	829	648	411	317	52	710	203	130	3258
TIPIN	71	122	43	119	170	6	29	87	24	355
TIPRL	653	1073	486	508	461	57	303	1024	96	2354
TIRAP	82	30	51	80	44	5	46	13	14	174
TJAP1	153	125	50	218	95	13	104	134	46	325
TJP1	4750	2404	1071	2841	1231	132	1354	1574	539	9032
TJP2	3415	3768	991	2530	1496	89	1529	2309	214	6518
TJP3	137	392	83	193	139	33	106	172	23	482
TK1	39	100	48	54	131	10	11	118	21	292
TK2	365	544	182	188	230	47	215	69	47	771
TKT	840	2386	634	1085	746	92	334	479	130	1653
TKTL1	0	0	2	0	0	8	7	224	6	9
TKTL2	0	0	3	0	3	6	4	7	10	9
TLCD1	14	96	32	53	12	7	16	54	9	154
TLCD2	113	322	43	77	90	7	85	220	28	574
TLE1	435	211	231	217	56	15	100	385	18	328
TLE2	453	216	36	291	73	17	141	256	31	252
TLE3	216	423	189	224	284	56	193	364	115	2525
TLE4	1079	610	214	330	166	10	496	132	61	387
TLE6	8	35	2	6	11	1	5	9	10	17
TLK1	1985	1112	1065	1310	537	101	733	626	199	3196
TLK2	1946	1233	486	1327	1531	85	717	864	185	3544
TLL1	41	51	18	2	7	37	74	34	45	155
TLL2	0	143	18	1	0	24	37	7	31	72
TLN1	2699	2111	620	1641	621	80	904	1398	306	3223
TLN2	286	214	109	202	111	65	133	456	119	924
TLR1	71	73	15	23	8	15	52	9	26	109
TLR10	1	35	6	4	6	14	13	3	23	38
TLR2	160	136	112	79	30	26	218	41	71	304
TLR3	322	251	129	100	69	26	220	12	58	925
TLR4	1557	996	269	218	464	69	635	208	74	1279
TLR5	35	55	38	13	39	16	37	19	23	211
TLR6	19	18	21	7	9	24	28	12	33	667
TLR7	9	23	19	31	1	9	50	15	13	70
TLR8	4	43	6	4	7	6	16	19	10	13
TLR9	0	0	2	1	1	5	6	2	7	10
TLX1	1	0	1	106	2	0	6	4	2	9
TLX1NB	0	3	3	6	1	7	3	3	7	4
TLX2	0	0	1	1	0	2	3	9	2	5
TLX3	0	0	6	0	0	0	0	6	1	1
TM2D1	664	381	147	304	338	21	286	180	81	1171
TM2D2	723	471	163	237	115	56	264	67	71	1331
TM2D3	439	540	142	250	260	45	227	206	75	1112
TM4SF1	67	497	19	35	94	11	48	66	10	160
TM4SF18	40	165	9	17	76	21	24	45	29	218
TM4SF19	0	2	0	0	0	2	4	0	0	1
TM4SF20	0	0	2	0	2	5	8	9	9	11
TM4SF4	0	0	8	0	0	8	7	6	5	9
TM4SF5	0	1	2	0	0	2	0	3	2	0
TM6SF1	24	33	8	6	16	11	31	11	6	41
TM6SF2	0	0	3	1	0	4	0	0	2	0
TM7SF2	89	269	196	119	53	6	48	61	16	399
TM7SF3	1478	793	935	850	363	58	1404	278	192	5520
TM9SF1	430	448	194	294	122	32	183	156	62	1065
TM9SF2	5142	5391	2717	3201	1263	382	2065	1420	548	18434
TM9SF3	8778	14911	4279	4178	4097	656	3529	2366	985	29993
TM9SF4	611	468	313	516	658	58	317	355	106	2300
TMA16	350	448	158	309	292	15	167	88	44	1188
TMA7	983	1410	301	395	603	60	390	348	83	2689
TMBIM1	2617	4839	837	888	1056	244	1102	304	476	812
TMBIM4	1524	1188	541	466	487	80	834	487	131	1571
TMBIM6	14395	14080	4419	5154	4286	997	4455	4288	1141	39269
TMC1	41	49	10	20	10	12	37	48	26	44
TMC2	0	0	4	0	0	15	15	7	10	9
TMC3	2	0	8	0	0	23	19	4	31	25
TMC4	866	820	200	425	185	50	296	187	100	1130
TMC5	6	344	11	204	224	37	37	207	38	215
TMC6	122	505	229	245	228	16	153	259	44	1365
TMC7	622	264	52	788	778	38	350	223	45	767
TMC8	5	20	7	13	7	3	26	9	8	31
TMCC1	748	866	304	460	371	76	362	443	113	1808
TMCC2	3	7	6	1	7	5	16	16	8	42
TMCC3	47	69	18	6	14	39	52	81	33	76
TMCO1	3162	3784	1060	1052	1150	222	1070	2236	272	9738
TMCO2	1	0	0	2	1	6	2	3	4	11
TMCO3	604	549	172	156	147	37	152	168	58	1171
TMCO4	452	507	147	453	172	26	208	141	66	579
TMCO5A	1	0	2	0	0	14	13	6	22	32
TMCO6	94	60	32	159	120	10	57	53	10	175
TMCO7	322	147	101	242	216	39	132	80	44	531
TMED1	82	54	27	21	64	5	31	26	8	184
TMED10	4562	4564	1870	2169	796	257	1388	1331	444	8952
TMED2	4764	6258	1682	2367	1941	330	1388	2462	589	19146
TMED3	784	1874	287	261	489	44	278	299	140	2297
TMED4	951	1761	312	489	576	58	452	552	122	3434
TMED5	2925	3998	594	1023	1260	100	936	2210	281	4435
TMED6	8	23	2	6	0	4	4	3	5	6
TMED7	131	371	24	48	29	8	76	58	14	307
TMED7-TICAM2	531	489	200	236	183	48	202	149	59	748
TMED8	88	67	22	84	50	12	42	57	14	128
TMED9	1202	1468	326	343	330	76	437	328	195	1281
TMEFF1	2	0	0	5	11	0	0	21	0	3
TMEFF2	2	0	0	0	0	7	10	12	6	19
TMEM100	8	9	12	1	1	14	10	8	13	44
TMEM101	229	214	68	139	21	9	88	70	26	356
TMEM102	113	86	42	45	54	1	39	32	12	280
TMEM104	54	64	32	51	53	8	50	57	22	184
TMEM105	3	13	9	1	0	7	8	3	5	21
TMEM106A	71	13	19	54	8	17	33	33	16	18
TMEM106B	2242	1650	801	768	977	114	791	622	198	4969
TMEM106C	295	562	117	236	479	24	161	469	46	1304
TMEM107	271	211	111	96	106	4	85	90	34	515
TMEM108	1	1	8	7	1	12	18	23	18	16
TMEM109	186	272	152	170	130	17	83	105	28	1251
TMEM11	192	236	127	73	103	10	96	31	28	710
TMEM110	6	115	12	13	9	0	6	5	1	70
TMEM110-MUSTN1	102	120	9	40	56	14	84	97	16	131
TMEM114	0	0	1	0	0	1	0	0	0	2
TMEM115	159	203	74	83	78	4	62	68	23	478
TMEM116	117	98	80	114	53	27	99	100	26	329
TMEM117	263	182	212	207	209	27	175	102	43	1530
TMEM119	48	72	4	5	3	2	37	15	6	115
TMEM120A	105	84	28	74	37	5	35	45	10	145
TMEM120B	85	76	46	162	90	19	69	75	29	230
TMEM121	3	1	0	1	3	0	3	1	0	9
TMEM123	8486	15467	2760	4212	3768	497	2639	5151	1038	29971
TMEM125	22	55	7	9	18	4	20	26	8	57
TMEM126A	146	134	61	74	100	5	80	56	22	270
TMEM126B	315	265	178	172	229	10	166	166	22	676
TMEM127	892	710	300	522	164	61	323	470	94	1565
TMEM128	187	142	58	75	97	14	101	49	20	637
TMEM129	102	115	80	83	52	8	71	50	22	407
TMEM130	0	1	3	0	0	6	5	2	9	6
TMEM131	1401	678	921	690	388	78	748	766	192	2264
TMEM132A	11	162	18	93	105	4	21	88	12	465
TMEM132B	12	4	14	0	0	31	26	47	38	52
TMEM132C	3	3	9	0	0	4	19	1	13	10
TMEM132D	0	1	6	1	0	21	6	11	18	13
TMEM132E	2	1	1	0	3	7	4	17	3	4
TMEM133	96	53	19	103	38	2	33	54	7	113
TMEM134	27	43	32	43	19	3	24	15	2	89
TMEM135	624	1008	281	697	416	47	342	362	160	3325
TMEM136	21	39	15	6	30	7	33	66	30	100
TMEM138	110	88	30	113	99	17	102	50	29	280
TMEM139	79	467	33	38	63	7	77	115	20	13
TMEM140	192	76	16	63	98	7	53	28	16	189
TMEM141	274	428	41	72	46	11	53	47	15	302
TMEM143	16	8	8	9	7	6	10	8	11	53
TMEM144	277	229	129	183	116	33	146	62	59	668
TMEM145	2	1	1	0	3	8	5	2	3	4
TMEM147	325	460	86	252	388	16	89	176	48	930
TMEM14A	372	348	165	171	214	25	115	184	46	1230
TMEM14B	487	633	139	303	366	30	234	210	52	1346
TMEM14C	568	793	296	270	506	57	285	202	37	1166
TMEM14E	7	2	5	5	11	10	25	11	12	9
TMEM150A	47	54	17	36	28	7	20	11	8	156
TMEM150B	2	0	3	0	1	2	3	0	3	1
TMEM150C	6	29	7	4	10	13	12	39	9	29
TMEM151A	0	0	0	0	0	1	1	2	1	0
TMEM151B	0	0	2	0	0	10	6	0	14	8
TMEM154	4056	1804	509	2251	1210	185	506	309	228	8122
TMEM155	1	2	4	1	0	7	8	6	15	24
TMEM156	7	7	6	2	3	14	6	0	14	30
TMEM158	2	67	2	1	3	0	7	9	3	12
TMEM159	662	807	218	502	624	52	274	145	89	2056
TMEM160	9	9	5	8	8	1	7	5	1	20
TMEM161A	37	36	33	64	63	10	17	15	14	90
TMEM161B	365	280	281	375	258	31	239	156	58	440
TMEM163	306	62	9	157	67	16	22	59	16	10
TMEM164	336	477	103	212	257	33	143	186	50	789
TMEM165	1351	2367	1102	1196	938	189	642	1167	161	13409
TMEM167A	2194	3264	1299	1359	937	156	945	842	362	2969
TMEM167B	1037	823	389	406	406	58	410	244	81	1970
TMEM168	1447	1110	620	902	439	55	511	363	84	1114
TMEM169	4	18	2	1	4	16	14	10	19	34
TMEM17	18	13	6	6	13	5	10	9	8	43
TMEM170A	114	92	36	100	64	7	52	64	16	356
TMEM170B	120	66	67	20	357	16	79	226	46	377
TMEM171	4	6	5	8	1	2	6	0	6	0
TMEM173	19	42	38	42	16	17	29	15	19	142
TMEM174	1	0	4	0	0	6	4	2	7	4
TMEM175	24	10	9	21	23	3	24	25	4	82
TMEM176A	8	20	0	8	7	4	19	8	5	32
TMEM176B	50	98	5	24	42	10	69	32	12	124
TMEM177	35	46	26	33	17	2	14	21	7	73
TMEM178A	51	5	12	25	6	8	30	9	11	33
TMEM178B	350	88	411	131	414	44	300	228	87	692
TMEM179	0	0	2	0	0	1	1	2	1	2
TMEM179B	107	130	43	98	44	7	60	76	20	376
TMEM18	520	481	164	180	195	26	127	165	45	923
TMEM180	4	6	12	12	17	5	14	9	12	49
TMEM181	2249	3840	488	809	783	131	1048	554	236	4884
TMEM182	167	223	94	115	77	15	132	54	33	306
TMEM183A	577	1101	388	480	417	57	393	427	74	1542
TMEM183B	1	3	0	1	1	2	1	4	2	10
TMEM184A	305	442	43	352	279	26	185	226	59	754
TMEM184B	360	438	77	407	143	17	196	404	78	1340
TMEM184C	1030	790	411	525	383	52	379	336	127	3891
TMEM185A	238	125	94	111	194	18	118	57	36	853
TMEM185B	484	342	181	304	93	37	267	205	72	1008
TMEM186	42	52	34	29	77	1	31	22	12	145
TMEM187	34	61	17	19	26	1	18	14	4	118
TMEM189	50	63	8	43	57	0	19	77	5	278
TMEM189-UBE2V1	823	723	227	541	604	65	273	462	127	1951
TMEM19	1102	748	375	199	189	250	310	342	107	1181
TMEM190	0	0	1	0	0	0	0	2	0	2
TMEM191B	3	2	2	1	2	2	4	1	0	9
TMEM191C	6	1	1	3	12	0	4	4	1	30
TMEM192	707	556	159	259	266	31	212	52	67	1440
TMEM194A	402	247	246	189	432	39	133	492	82	916
TMEM194B	147	122	43	120	52	15	56	72	28	236
TMEM196	0	0	3	0	0	6	10	10	25	23
TMEM198	15	1	4	2	7	6	10	4	3	6
TMEM199	149	142	51	97	88	17	72	103	22	302
TMEM2	4626	5175	596	4734	4690	92	2289	3263	442	9533
TMEM200A	12	22	17	9	5	30	28	23	64	47
TMEM200B	23	23	5	14	20	6	13	45	2	46
TMEM200C	0	7	4	0	1	1	1	2	1	5
TMEM201	29	32	18	66	35	11	25	68	14	89
TMEM202	0	0	4	0	1	6	11	5	13	13
TMEM203	165	177	37	79	84	12	56	77	12	272
TMEM204	12	37	2	7	16	1	27	11	3	64
TMEM205	132	376	105	159	212	27	127	59	29	369
TMEM206	69	120	41	157	116	3	42	120	22	290
TMEM207	1	0	4	0	0	8	9	9	9	13
TMEM208	161	343	72	114	98	36	92	42	29	499
TMEM209	520	553	214	385	381	44	256	189	70	1414
TMEM210	1	0	0	0	0	1	0	0	0	0
TMEM211	0	0	1	0	0	1	3	1	1	0
TMEM212	7	3	7	11	9	38	40	42	55	110
TMEM213	1	0	4	0	2	16	10	8	21	25
TMEM214	304	388	119	289	185	24	109	127	45	935
TMEM215	2	0	2	0	0	12	19	24	22	25
TMEM216	105	101	56	69	48	7	64	56	13	425
TMEM217	9	3	19	14	5	17	12	10	20	51
TMEM218	344	283	72	210	186	17	168	139	72	769
TMEM219	370	317	85	188	180	15	145	117	35	521
TMEM220	25	40	30	4	3	6	13	17	17	29
TMEM221	5	0	4	0	3	4	4	2	1	21
TMEM222	83	95	31	52	39	4	51	40	13	190
TMEM223	134	157	84	59	65	8	50	40	11	342
TMEM225	0	0	4	0	0	4	3	5	6	13
TMEM229A	0	0	2	0	1	2	5	6	3	3
TMEM229B	84	80	21	23	30	20	103	10	20	139
TMEM230	879	1317	362	411	769	92	523	314	120	1424
TMEM231	72	95	41	75	51	20	58	17	30	174
TMEM232	58	36	13	4	18	14	45	23	38	29
TMEM233	2	3	0	0	1	4	4	3	3	10
TMEM234	92	43	31	69	66	8	55	66	13	114
TMEM235	0	0	2	0	0	3	3	2	3	3
TMEM236	4	4	5	6	5	15	17	11	9	27
TMEM237	680	307	215	130	266	62	255	180	68	637
TMEM238	25	44	18	7	20	1	18	25	4	58
TMEM239	0	0	0	0	0	2	0	1	0	1
TMEM240	0	0	1	1	0	0	2	1	0	4
TMEM241	51	48	22	30	24	22	23	22	32	59
TMEM242	258	310	94	96	61	33	125	101	51	436
TMEM244	1	0	1	0	0	0	4	1	3	2
TMEM245	3998	3247	428	1312	1108	58	1195	1305	118	4063
TMEM246	147	16	37	80	0	5	70	8	2	103
TMEM247	0	0	1	0	0	3	0	2	2	1
TMEM248	1875	1465	498	1068	569	131	742	749	225	5351
TMEM249	2	0	0	0	0	0	0	1	0	1
TMEM25	214	97	95	143	159	10	137	186	42	253
TMEM251	131	136	35	50	60	10	60	91	16	205
TMEM252	1	0	3	0	0	1	2	1	2	1
TMEM253	1	2	3	1	3	6	10	8	8	33
TMEM26	11	14	8	7	3	24	21	37	31	57
TMEM27	14	17	7	4	2	6	5	9	5	32
TMEM30A	4831	5021	2040	2938	1406	228	1553	660	562	13248
TMEM30B	1491	1037	636	422	118	111	342	458	123	2722
TMEM31	0	0	1	0	3	1	1	0	2	1
TMEM33	2058	2077	636	1338	1172	147	903	268	262	8139
TMEM35	1	2	1	0	38	2	4	7	3	5
TMEM37	91	12	4	22	2	6	10	4	7	175
TMEM38A	19	14	4	2	13	11	7	9	11	37
TMEM38B	35	57	40	54	113	1	58	115	12	130
TMEM39A	347	443	192	325	350	40	168	245	68	1376
TMEM39B	50	36	12	40	22	8	30	39	12	117
TMEM40	38	156	58	77	94	18	52	21	26	415
TMEM41A	327	425	91	306	207	27	119	155	39	1069
TMEM41B	919	1277	267	723	472	68	300	325	101	1541
TMEM42	36	70	24	16	38	3	17	42	10	69
TMEM43	1145	1708	504	595	693	75	439	1542	124	4723
TMEM44	156	73	35	112	123	9	94	126	23	186
TMEM45A	11	35	27	11	5	109	8	12	11	45
TMEM45B	608	1034	385	572	556	31	416	441	134	3826
TMEM47	1249	1550	152	38	406	217	959	593	49	2090
TMEM48	785	1249	429	801	866	108	344	530	150	2174
TMEM5	306	275	152	170	160	16	116	117	46	565
TMEM50A	1317	1426	348	623	658	90	468	534	123	2632
TMEM50B	1430	1225	317	289	984	76	498	455	110	1342
TMEM51	807	645	166	590	573	40	293	428	71	2134
TMEM52	0	0	4	0	3	1	4	4	0	1
TMEM52B	2	3	7	1	6	11	13	5	15	30
TMEM53	16	40	4	19	10	2	22	13	9	58
TMEM54	279	238	86	183	113	14	116	105	44	1039
TMEM55A	47	101	48	14	22	10	47	31	23	46
TMEM55B	123	64	52	110	58	12	73	89	25	203
TMEM56	14	175	3	5	15	6	2	27	0	14
TMEM56-RWDD3	22	78	23	24	53	13	41	118	24	60
TMEM57	861	726	198	541	705	62	334	735	97	2004
TMEM59	5504	4535	1376	1736	1404	267	1836	842	355	10103
TMEM59L	0	0	2	0	0	7	2	0	3	3
TMEM60	139	148	43	56	49	8	57	58	23	364
TMEM61	1	0	2	0	1	0	1	1	1	1
TMEM62	279	538	76	349	379	25	181	520	64	1000
TMEM63A	918	604	431	1282	335	37	793	274	112	1520
TMEM63B	572	450	430	445	171	21	485	272	69	1320
TMEM63C	1	2	31	1	0	17	11	5	21	17
TMEM64	1665	4684	196	502	400	57	190	553	83	1200
TMEM65	192	279	178	61	123	19	113	302	40	1804
TMEM66	4816	4572	1859	929	578	409	1669	405	247	8273
TMEM67	333	404	146	175	506	32	251	170	52	531
TMEM68	383	601	166	169	272	49	177	234	51	1418
TMEM69	313	266	140	219	218	20	143	101	53	637
TMEM70	171	231	91	96	224	23	75	193	39	611
TMEM71	10	12	11	3	0	8	13	4	11	32
TMEM72	0	0	2	0	0	3	2	1	2	1
TMEM74	1	0	0	0	1	14	6	4	21	16
TMEM74B	24	0	26	24	57	0	23	35	9	9
TMEM79	70	116	42	54	28	16	49	103	15	318
TMEM80	88	41	20	50	42	6	34	17	5	40
TMEM81	14	6	10	17	12	2	8	7	4	29
TMEM82	0	0	2	0	0	0	3	0	3	1
TMEM86A	22	63	15	23	18	13	35	45	24	63
TMEM86B	10	2	8	12	11	1	6	5	1	10
TMEM87A	2084	2319	762	952	1042	140	775	978	296	5604
TMEM87B	3051	2230	776	1559	622	122	1246	823	242	5760
TMEM88	3	2	1	5	5	1	5	9	2	2
TMEM88B	0	0	1	0	0	1	0	0	0	0
TMEM89	0	0	1	0	2	1	0	0	0	0
TMEM8A	275	310	101	247	59	10	111	115	43	353
TMEM8B	47	18	22	36	21	10	39	28	18	74
TMEM8C	0	0	1	0	0	0	1	0	1	0
TMEM9	495	344	302	198	138	15	302	216	58	1242
TMEM91	29	33	32	6	32	3	20	10	5	50
TMEM92	2	5	20	3	0	10	12	5	5	17
TMEM95	1	1	0	2	2	1	3	2	1	0
TMEM97	2848	2316	51	1862	1501	115	150	937	187	6045
TMEM98	411	137	113	68	64	11	123	153	31	439
TMEM99	42	61	27	16	24	8	20	19	17	102
TMEM9B	796	770	249	311	256	56	324	226	79	807
TMF1	3011	3178	1268	1841	2037	159	1135	746	316	8334
TMIE	5	11	7	0	1	2	5	7	3	38
TMIGD1	1	0	8	0	1	7	5	3	10	13
TMIGD2	0	0	1	3	1	2	0	2	2	29
TMLHE	603	486	136	228	243	22	279	201	78	591
TMOD1	20	50	6	15	16	4	31	26	14	49
TMOD2	268	287	81	65	668	34	222	476	129	361
TMOD3	2462	3797	1001	1266	1505	134	786	1404	376	6735
TMOD4	7	1	4	7	14	5	16	12	8	14
TMPO	1998	3362	940	1893	2719	191	620	3450	228	5825
TMPPE	2	3	0	3	1	1	1	0	0	4
TMPRSS11A	4	4	3	2	1	16	20	12	22	72
TMPRSS11B	0	0	7	1	1	5	12	13	14	16
TMPRSS11BNL	3	0	6	0	0	6	10	5	20	45
TMPRSS11D	2	1	7	1	0	5	12	12	27	37
TMPRSS11E	176	252	5	4	141	14	18	14	48	106
TMPRSS11F	1	0	8	0	0	12	18	13	19	39
TMPRSS12	0	0	0	0	0	3	3	8	8	11
TMPRSS13	5	2	10	4	1	8	15	27	21	733
TMPRSS15	0	0	7	0	2	22	22	22	33	46
TMPRSS2	1579	2831	371	1946	1523	46	306	1058	319	8729
TMPRSS3	5	0	5	10	1	11	29	1	24	11
TMPRSS4	986	1985	4621	707	105	168	1987	79	201	6066
TMPRSS5	0	0	0	3	4	1	11	3	5	7
TMPRSS6	0	5	6	0	0	7	5	1	3	11
TMPRSS7	7	6	13	2	4	16	19	5	15	35
TMPRSS9	1	0	3	0	0	3	4	2	5	0
TMSB10	8259	17644	3572	3294	5897	279	2500	5741	649	10389
TMSB15A	3	0	0	0	20	3	2	8	1	1
TMSB15B	22	3	10	7	61	3	12	30	3	65
TMSB4X	20866	18947	2712	3312	3954	1051	10014	4101	1971	64719
TMSB4Y	119	66	35	2	33	18	4	0	19	270
TMTC1	76	153	40	71	37	31	89	49	57	229
TMTC2	1102	531	264	431	279	126	356	510	119	1844
TMTC3	2021	1556	1123	879	895	141	688	569	170	8352
TMTC4	655	631	219	621	487	47	306	370	50	1138
TMUB1	84	73	21	54	62	6	47	47	11	248
TMUB2	164	114	62	113	112	9	115	86	22	367
TMX1	2249	2139	614	1098	865	125	839	588	178	5084
TMX2	595	830	361	379	272	42	334	251	84	1839
TMX3	1595	1319	712	1178	516	158	735	259	169	3202
TMX4	715	662	225	162	197	53	250	263	52	513
TNC	69	97	38	71	74	30	38	52	46	299
TNF	0	8	0	44	6	3	7	6	11	7
TNFAIP1	473	546	204	625	329	37	234	390	76	2289
TNFAIP2	919	2239	3368	4768	2083	333	2000	2113	441	10558
TNFAIP3	63	138	131	548	90	26	78	155	94	95
TNFAIP6	0	6	6	4	8	5	6	11	5	16
TNFAIP8	501	821	101	419	154	35	128	104	64	742
TNFAIP8L1	77	77	44	92	126	9	12	42	13	283
TNFAIP8L2	1	2	0	0	0	1	3	0	1	1
TNFAIP8L2-SCNM1	38	62	57	55	113	17	104	101	22	139
TNFAIP8L3	14	2	5	3	9	5	11	8	14	11
TNFRSF10A	164	112	90	175	10	24	78	13	18	326
TNFRSF10B	705	423	316	855	329	56	720	63	143	3028
TNFRSF10C	6	16	15	9	4	13	52	4	12	85
TNFRSF10D	105	31	76	33	42	22	65	17	12	59
TNFRSF11A	67	82	64	101	8	14	40	94	19	88
TNFRSF11B	12	10	11	28	5	17	15	34	14	37
TNFRSF12A	77	391	6	30	37	2	38	72	30	262
TNFRSF13B	0	0	3	1	1	2	2	0	5	5
TNFRSF13C	2	2	1	7	1	0	2	2	3	5
TNFRSF14	216	112	109	196	57	9	131	15	25	156
TNFRSF17	3	8	8	0	0	3	4	1	2	7
TNFRSF18	0	2	0	0	0	0	0	0	1	0
TNFRSF19	3	250	16	2	36	19	19	21	26	41
TNFRSF1A	424	363	199	448	177	60	248	130	53	2605
TNFRSF1B	17	83	10	55	57	14	32	19	16	35
TNFRSF21	4137	4669	3430	1830	2185	275	1998	2362	450	14461
TNFRSF25	40	8	22	30	62	5	44	59	10	25
TNFRSF4	0	3	1	0	3	0	1	2	0	0
TNFRSF6B	1	8	1	6	9	0	4	2	0	5
TNFRSF8	2	2	3	1	1	12	8	6	7	5
TNFRSF9	3	6	9	5	5	9	7	17	25	12
TNFSF10	6460	1638	569	442	199	151	486	1145	107	2271
TNFSF11	3	15	22	5	2	8	32	21	13	44
TNFSF12	9	5	1	1	3	0	11	7	3	60
TNFSF12-TNFSF13	39	15	19	25	15	4	13	19	7	87
TNFSF13	54	57	201	42	12	3	29	10	13	420
TNFSF13B	42	35	22	21	6	16	49	11	19	55
TNFSF14	6	16	2	5	0	6	5	4	7	10
TNFSF15	309	1498	50	78	146	61	110	123	95	864
TNFSF18	0	1	2	0	0	2	1	3	1	5
TNFSF4	1	7	14	4	2	14	16	25	24	44
TNFSF8	4	14	7	1	5	22	28	18	19	46
TNFSF9	1	1	0	2	4	0	1	1	3	1
TNIK	967	735	256	13	295	54	394	52	88	240
TNIP1	1054	822	321	1244	296	59	364	208	135	1030
TNIP2	363	419	124	227	271	29	162	86	41	1258
TNIP3	2	0	6	4	2	16	16	10	22	43
TNK1	129	49	79	77	58	3	59	76	13	239
TNK2	112	162	57	396	198	18	107	138	30	606
TNKS	2326	1247	896	1431	835	190	996	455	249	7351
TNKS1BP1	999	1441	459	840	729	120	491	174	190	4323
TNKS2	3251	1952	1405	2731	1696	145	1254	988	339	9892
TNMD	1	1	2	1	0	3	5	9	5	15
TNN	0	2	11	0	1	29	22	39	40	17
TNNC1	65	249	0	19	7	7	14	12	14	649
TNNC2	0	4	10	3	6	1	3	3	2	3
TNNI1	4	15	14	0	4	21	37	16	10	24
TNNI2	25	34	324	107	7	3	1269	4	5	32
TNNI3	0	0	23	1	10	7	6	1	5	12
TNNI3K	1	0	0	0	0	0	1	1	0	1
TNNT1	4	6	271	0	8	5	3	1	1	11
TNNT2	8	20	31	27	17	6	46	16	12	20
TNNT3	3355	16	1681	4459	38	11	598	8	46	91
TNP1	0	0	0	0	0	5	0	1	2	4
TNP2	0	0	1	0	0	1	4	0	2	2
TNPO1	6000	4107	1864	2066	1884	249	2284	1955	579	8097
TNPO2	313	121	145	444	274	26	119	161	37	632
TNPO3	1536	1318	365	930	1024	100	683	710	210	4502
TNR	1	0	11	0	0	23	23	32	41	40
TNRC18	1212	466	439	762	389	52	377	625	120	2662
TNRC6A	1887	728	512	1333	2339	84	1149	1001	239	3878
TNRC6B	3614	2090	1500	1974	970	178	1692	1021	372	8470
TNRC6C	377	255	64	190	202	51	141	247	48	668
TNS1	261	307	25	96	42	68	125	85	68	303
TNS3	1458	740	96	705	504	79	559	620	147	4454
TNS4	1392	178	176	859	199	40	441	20	160	2133
TNXB	13	42	23	5	8	18	33	19	25	45
TOB1	1247	1961	425	804	617	70	601	568	250	4237
TOB2	944	869	523	381	132	73	365	335	114	2858
TOE1	100	124	52	56	72	18	56	48	18	181
TOLLIP	592	449	461	245	145	44	264	84	68	1108
TOM1	149	131	71	68	51	6	63	76	22	430
TOM1L1	744	1166	342	730	756	68	419	382	111	1668
TOM1L2	1577	850	166	817	303	25	260	339	96	1492
