Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
LIPM	1	0	6	0	0	11	9	1	16	18
LIPN	0	1	5	0	0	8	8	4	19	42
LIPT1	92	179	61	69	30	17	57	41	17	174
LIPT2	47	71	23	29	21	3	33	41	7	121
LITAF	1374	2313	319	790	1105	116	540	222	178	2361
LIX1	2	0	5	3	1	16	14	8	18	26
LIX1L	22	36	9	5	46	8	23	47	7	67
LLGL1	80	137	36	114	85	6	49	219	21	420
LLGL2	285	337	109	394	424	20	160	612	38	895
LLPH	462	533	154	214	214	19	148	168	43	1016
LMAN1	3743	5610	1341	1874	1023	232	1084	818	349	12253
LMAN1L	2	0	4	0	0	7	2	4	5	3
LMAN2	1767	1792	577	480	521	135	627	519	227	2227
LMAN2L	344	189	107	105	84	27	113	95	39	467
LMBR1	969	1004	351	560	619	75	552	540	115	3913
LMBR1L	196	100	59	196	144	26	109	93	30	557
LMBRD1	2221	1635	463	1257	612	124	711	412	180	6893
LMBRD2	788	672	159	330	295	35	298	374	68	1207
LMCD1	23	117	4	3	21	11	23	51	9	62
LMF1	40	32	25	14	12	3	38	25	3	83
LMF2	94	45	45	30	52	11	56	51	8	142
LMLN	177	160	144	103	166	41	142	167	68	390
LMNA	2575	3872	888	1180	878	142	1329	3056	233	5876
LMNB1	507	1002	329	676	1030	62	99	1303	112	1351
LMNB2	566	755	233	483	852	55	181	659	98	2288
LMO1	3	0	0	0	0	2	3	1	1	1
LMO2	82	143	53	45	62	14	76	89	17	317
LMO3	27	33	457	22	55	76	29	16	29	66
LMO4	513	992	2240	182	1618	51	105	1594	77	1494
LMO7	2519	2186	767	938	391	150	736	317	263	1552
LMOD1	35	73	13	17	8	15	18	21	16	39
LMOD2	1	0	6	2	1	10	14	5	8	16
LMOD3	4	6	11	3	1	23	15	13	20	46
